扫描速率（K/min）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,界面23温度（℃）,外表面温度（℃）,平均固化进度
5.0,42.84999999999864,23.217234212774166,22.292391937021712,18.551651041659248,12.450348239762405,0.3919466482157228
5.0,42.874999999998636,23.214762923079785,22.28995684098626,18.54866952675267,12.447659592621898,0.39234535205454196
5.0,42.899999999998634,23.212292693190033,22.287521579015024,18.545688371728893,12.444971424358602,0.3927440437791301
5.0,42.92499999999863,23.209823518711197,22.285086083686483,18.542698825116297,12.442283734826933,0.3931427136621947
5.0,42.94999999999863,23.207355395374922,22.282650214930733,18.539714759449023,12.439596522209511,0.39354136662742434
5.0,42.97499999999863,23.204888319002997,22.28021399030444,18.536734456280303,12.436909782892645,0.39394001770299963
5.0,42.99999999999863,23.202422285457192,22.27777748460108,18.53375712525301,12.43422351220603,0.3943386561903332
5.0,43.02499999999863,23.19995729058255,22.275345580066023,18.530780384655436,12.431537705696307,0.39473729209954805
5.0,43.049999999998626,23.197493330152938,22.27291578094519,18.52780141657352,12.428852360145143,0.39513590548150795
5.0,43.074999999998624,23.19503039982885,22.2704988880573,18.52482180571189,12.42616747381967,0.3955345153356275
5.0,43.09999999999862,23.192568495137795,22.268077896255686,18.521842402690744,12.423483046041627,0.3959331158125081
5.0,43.12499999999862,23.19010761148463,22.265654239655895,18.518863829146387,12.42079907651636,0.3963317063553794
5.0,43.14999999999862,23.187647744191587,22.263228635425456,18.515886516578217,12.418115564841656,0.3967302794883815
5.0,43.17499999999862,23.18518888855916,22.260801475809288,18.512910755206118,12.415432510398693,0.39712883667061344
5.0,43.19999999999862,23.182731039932914,22.25837328058843,18.50993649165715,12.41274991259919,0.3975273847984135
5.0,43.224999999998616,23.180274193760464,22.255944787342898,18.506952921250214,12.410067770743346,0.3979259035624088
5.0,43.249999999998614,23.177818345626815,22.253516086541442,18.503974891547337,12.407386083443221,0.3983244120620242
5.0,43.27499999999861,23.175363491262605,22.25108707523218,18.501000613112236,12.404704848322947,0.39872291157903367
5.0,43.29999999999861,23.172909626526287,22.24865762140492,18.498029270224777,12.402024062489652,0.39912139381876427
5.0,43.32499999999861,23.170456747365666,22.246227773051277,18.49505493046308,12.399343723343378,0.39951986135475986
5.0,43.34999999999861,23.168004849766522,22.24379947575605,18.4920799379179,12.39666382904439,0.39991830778886456
5.0,43.37499999999861,23.165553929697012,22.241374482860117,18.489104991729903,12.3939843784157,0.4003167443156524
5.0,43.399999999998606,23.163103983056505,22.238950835183104,18.486130702395954,12.391305370524762,0.40071517803546575
5.0,43.424999999998604,23.160655005638027,22.236539785371654,18.483157529154614,12.388626804312361,0.4011136105819908
5.0,43.4499999999986,23.158206993113332,22.234124617379152,18.480185794929177,12.385948678503153,0.40151203441314404
