扫描速率（K/min）,潜热（kJ/kg）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,功能层平均温度（℃）,界面23温度（℃）,外表面温度（℃）,固化进度
5.0,244.625496,7.0,35.42426380984447,33.274580835714275,31.3775786712337,28.991776484496842,22.781997620926468,0.0
5.0,244.625496,7.25,35.2877178667858,33.09043603717969,31.17151805423415,28.767838135456945,22.560206581960504,0.0
5.0,244.625496,7.5,35.14781377845914,32.90614454244248,30.967118441760142,28.54721315639612,22.342705814334096,0.0
5.0,244.625496,7.75,35.004809431022885,32.72176752066597,30.764315678755004,28.32971729788467,22.12923083866001,0.0
5.0,244.625496,8.0,34.85894759089524,32.53735967167857,30.56304809155275,28.115178509510617,21.919537219438862,0.0
5.0,244.625496,8.25,34.71045637548827,32.35297015982318,30.363256709415378,27.903436143956466,21.713398692884613,0.0
5.0,244.625496,8.5,34.559549816391865,32.16864337278271,30.164885383143645,27.694340208306286,21.510605538625054,0.0
5.0,244.625496,8.75,34.40642848081527,31.984419542413452,29.96788082764443,27.487750660974328,21.310963152148947,0.0
5.0,244.625496,9.0,34.251280125663634,31.800335256455014,29.772192608993684,27.283536752353044,21.114290783864373,0.0
5.0,244.625496,9.25,34.094280365227064,31.616423883638944,29.577773091652656,27.081576407115012,20.92042041761941,0.0
5.0,244.625496,9.5,33.935593338526644,31.432715929785072,29.38457735773895,26.8817556460276,20.729195766979263,0.0
5.0,244.625496,9.75,33.77537236623956,31.24923933864089,29.192563107364762,26.68396804512358,20.540471371806007,0.0
5.0,244.625496,10.0,33.6137605900828,31.066019748239494,29.00169054683376,26.48811423009611,20.354111781017913,0.0
5.0,244.625496,10.25,33.45089158978017,30.883080711234825,28.81192226978242,26.294101403839093,20.16999081002226,0.0
5.0,244.625496,10.5,33.28688997443413,30.700443885870705,28.623223135043645,26.101842905125043,19.987990863378926,0.0
5.0,244.625496,10.75,33.12187194639769,30.51812920283723,28.435560144009024,25.91125779649486,19.808002314884313,0.0
5.0,244.625496,11.0,32.955945836690745,30.336155012175013,28.24890231950114,25.722270479523367,19.629922938562338,0.0
5.0,244.625496,11.25,32.78921261170507,30.15453821353497,28.06322058758444,25.534810335717165,19.453657385084444,0.0
5.0,244.625496,11.5,32.62176635145133,29.97329437243548,27.878487663301,25.348811391394868,19.279116698971443,0.0
5.0,244.625496,11.75,32.4536946999652,29.792437824637453,27.69467794098302,25.164212004992812,19.106217872600475,0.0
5.0,244.625496,12.0,32.28507928874304,29.611981770349416,27.511767389542747,24.98095457532999,18.93488343358496,0.0
5.0,244.625496,12.25,32.115996134246934,29.43193835965364,27.32973345295308,24.798985269454,18.7650410625409,0.0
5.0,244.625496,12.5,31.946516010625267,29.252318770291346,27.148554955993415,24.61825376877433,18.59662323861992,0.0
5.0,244.625496,12.75,31.776704798854812,29.073133278745097,26.968212015234393,24.43871303227001,18.4295669104946,0.0
5.0,244.625496,13.0,31.60662381353419,28.8943913253978,26.78868595516238,24.260319075635547,18.263813190736762,0.0
5.0,244.625496,13.25,31.436330108557954,28.716101574421337,26.609959229293743,24.083030765301835,18.099307071745457,0.0
5.0,244.625496,13.5,31.26587676288066,28.538271968946574,26.432015346094573,23.90680962633746,17.93599716156518,0.0
5.0,244.625496,13.75,31.09531314754782,28.360909781985118,26.254838799499293,23.73161966330069,17.77383543809291,0.0
5.0,244.625496,14.0,30.924685175129255,28.184021663507078,26.078415003809095,23.557427193173414,17.612777020309572,0.0
5.0,244.625496,14.25,30.75403553264284,28.007613684025387,25.902730232744965,23.384200689565493,17.45277995529135,0.0
5.0,244.625496,14.5,30.583404273400177,27.839870959909515,25.740257702337868,23.219510597673313,17.29386088964887,5.435428875283516e-05
5.0,244.625496,14.75,30.412869570688237,27.684100927924973,25.59385060256026,23.06646387461132,17.13675494424464,0.00033288980116131676
5.0,244.625496,15.0,30.242715362949752,27.538664892279023,25.45958826248443,22.923598832358437,16.982889086089855,0.0008287270767580097
5.0,244.625496,15.25,30.073478184521008,27.402229361097987,25.335282172216417,22.78974776351405,16.83357822467394,0.0015264308060717322
5.0,244.625496,15.5,29.905803622152686,27.273558292653554,25.219233548646,22.663847158560095,16.689685110663078,0.002411087836738902
5.0,244.625496,15.75,29.740307580812093,27.15170876062178,25.110289011540548,22.545101132429867,16.55168256119401,0.003472891084900681
5.0,244.625496,16.0,29.577512102941593,27.03585472539638,25.00747910661682,22.432802329035663,16.41976506070243,0.00469987874857153
5.0,244.625496,16.25,29.41782982420224,26.92537814808663,24.910120223211784,22.32640981728128,16.293938788507653,0.006082490526554661
5.0,244.625496,16.5,29.261570252141787,26.819761027817776,24.817643118751043,22.225449062667547,16.174088330767596,0.007615738683895229
5.0,244.625496,16.75,29.10895458686564,26.718613183637217,24.729630537660057,22.129540936085963,16.06002389648566,0.009290521212648584
5.0,244.625496,17.0,28.96013215248574,26.62140085568544,24.645460145842755,22.03815809810988,15.951512533996066,0.011093024048214318
5.0,244.625496,17.25,28.815194707411013,26.527926274451577,24.564948991207576,21.951067826678976,15.848284258207038,0.013022464863967511
5.0,244.625496,17.5,28.674185825744576,26.437809026685212,24.48765879332039,21.867864765990433,15.750056301584804,0.015066961282140823
5.0,244.625496,17.75,28.537111782976538,26.350881531243566,24.413422898197332,21.788331011765877,15.6565416821818,0.01722862502002639
5.0,244.625496,18.0,28.403949357287498,26.2668659111385,24.341925784190547,21.712149031022136,15.56745746663541,0.019488836643459576
5.0,244.625496,18.25,28.27465282005422,26.18559907619977,24.272995545632405,21.63910393677116,15.482527755078987,0.021849206101575678
5.0,244.625496,18.5,28.149158714203285,26.106876892926675,24.206405693837333,21.568947073972033,15.401486211769317,0.024300280115045293
5.0,244.625496,18.75,28.027389933646873,26.030554970804584,24.1420027670651,21.501485279644154,15.324078011196471,0.026840987871456015
5.0,244.625496,19.0,27.909258864307873,25.956494572701242,24.079638303962625,21.43653418901882,15.250061283675576,0.02946698797235853
5.0,244.625496,19.25,27.794670212872813,25.884569111559536,24.019177784303103,21.37392408568884,15.179209170180767,0.032172699284043975
5.0,244.625496,19.5,27.683523498010203,25.81459869865178,23.960423578233627,21.313443887277018,15.111309040892971,0.0349493723565762
5.0,244.625496,19.75,27.575714575010878,25.746528935431257,23.903327701162954,21.254993912745427,15.046157753092434,0.03779305334007258
5.0,244.625496,20.0,27.471136118667026,25.680167656408727,23.847678970878558,21.19836209498603,14.983566224388293,0.04070254369898756
5.0,244.625496,20.25,27.369679294076164,25.61554689754872,23.79352972895951,21.143529430588373,14.923355307888892,0.04368066764668688
5.0,244.625496,20.5,27.271234291419315,25.552547839752116,23.74075347628718,21.09035472804976,14.865363615305549,0.04670972352491097
5.0,244.625496,20.75,27.17569307207923,25.491085029972034,23.689263995711286,21.038727975710277,14.809445874707716,0.04980411082358016
5.0,244.625496,21.0,27.08295018443991,25.431125221904033,23.639034839966023,20.98858633090683,14.755465920925136,0.05294750842964984
5.0,244.625496,21.25,26.992902406328987,25.372519538191284,23.589906930550804,20.939774539552612,14.70329946730592,0.056138140266304086
5.0,244.625496,21.5,26.905449181122357,25.315216834259154,23.541834399515935,20.892220690981777,14.652827411923937,0.05937590285281342
5.0,244.625496,21.75,26.82049145309537,25.25918400027956,23.494790993342207,20.84587095485655,14.603936276045156,0.06266271326572145
5.0,244.625496,22.0,26.737931823739753,25.20434733564778,23.448704112205533,20.800640862625226,14.556523587401834,0.06598489180170565
5.0,244.625496,22.25,26.657675811506365,25.150629659929397,23.403497720030746,20.756445175841428,14.510495016889731,0.06935441479909192
5.0,244.625496,22.5,26.579631844734028,25.098059149637567,23.359214297240886,20.713287022385213,14.465761273716387,0.07275472002944004
5.0,244.625496,22.75,26.503711072437824,25.046498822397783,23.31570970380178,20.67103728673918,14.422243825271417,0.07619496384172679
5.0,244.625496,23.0,26.429828470576396,24.995930669716994,23.272974690390914,20.629664642450905,14.379867667540301,0.07967199884927428
5.0,244.625496,23.25,26.357901619473612,24.946281870205166,23.230937773677347,20.589095283921477,14.33856052014421,0.08317519617239871
5.0,244.625496,23.5,26.287850325192295,24.8975611220522,23.18961877192431,20.54932294186667,14.298254557166885,0.08670516965796608
5.0,244.625496,23.75,26.219596839328975,24.849705360347727,23.148956509417243,20.51028495734155,14.258889197148141,0.09027394908281532
5.0,244.625496,24.0,26.153066745731834,24.802706395124996,23.108951304079707,20.471964106339268,14.22040933475632,0.0938697546476223
5.0,244.625496,24.25,26.088188937906796,24.756502228986083,23.06954297494441,20.434300968367445,14.182764667416606,0.09748738203896642
5.0,244.625496,24.5,26.024895574137794,24.711081730276224,23.030728180639926,20.397278092590373,14.145907846694117,0.10112720884315105
5.0,244.625496,24.75,25.96312160250195,24.66638803293035,22.992452185356047,20.360842157211387,14.109794812739066,0.10479178464828035
5.0,244.625496,25.0,25.902804675039654,24.622394726690978,22.954694289138786,20.324965038029088,14.07438361962562,0.10848258503202801
5.0,244.625496,25.25,25.843884739446136,24.57909387052103,22.91745389120573,20.28963451729714,14.039634226363955,0.11219601357258668
5.0,244.625496,25.5,25.786303986926644,24.536440854306463,22.880689251651024,20.25480950224298,14.005510837438226,0.11592585515803161
5.0,244.625496,25.75,25.730007266554512,24.494428285829738,22.844400034721097,20.22047949507126,13.971980028427247,0.11967508051344077
5.0,244.625496,26.0,25.674941860161905,24.45302005136137,22.80855352335414,20.18661146662367,13.939010981622362,0.12344257374488808
5.0,244.625496,26.25,25.6210574795912,24.412182504738734,22.773119765497167,20.153174676265877,13.906574809907475,0.12722574487150065
5.0,244.625496,26.5,25.56830597989031,24.371904594745534,22.738093731824694,20.120157148986728,13.874643156945199,0.13102519942169108
5.0,244.625496,26.75,25.516640990375784,24.332168925427386,22.70346293613651,20.087542331301165,13.843189706709603,0.13484061132918418
5.0,244.625496,27.0,25.466018102636536,24.292966262372598,22.66922375677184,20.055320731509028,13.81219078875346,0.13867089425207824
5.0,244.625496,27.25,25.416395079781243,24.254266731305535,22.635349343817442,20.023466430017862,13.781625254084313,0.14251561366259494
5.0,244.625496,27.5,25.36773189094689,24.216030513975614,22.60180179431168,19.991945448773237,13.751472858341147,0.14637386034347613
5.0,244.625496,27.75,25.319990238004618,24.178270806997034,22.568602144719186,19.960767298289728,13.72171249025106,0.15024468402108568
5.0,244.625496,28.0,25.27313305337627,24.140961587235196,22.53572709809384,19.92991001007394,13.69232533897951,0.15412817385560343
5.0,244.625496,28.25,25.227124989054268,24.104096583703228,22.503175432707707,19.89936785556688,13.663294751231026,0.1580238139368669
5.0,244.625496,28.5,25.181932508103326,24.067640764280036,22.470913556212455,19.869111734767746,13.634605295788345,0.16192998873150327
5.0,244.625496,28.75,25.137523712589296,24.03158036907029,22.438931694586092,19.83912995212135,13.606241339655526,0.16584700777922032
5.0,244.625496,29.0,25.093867871133476,23.995926907430036,22.407247946289218,19.80943191864712,13.578187266503324,0.16977385514666063
5.0,244.625496,29.25,25.05093538581265,23.96064342478569,22.375825822539667,19.77998740959288,13.550430160973068,0.17371082571666913
5.0,244.625496,29.5,25.00869826016887,23.925730103065273,22.34467059259534,19.750796694944068,13.52295757083481,0.1776563583237798
5.0,244.625496,29.75,24.967129765822758,23.891169429267187,22.313767293164762,19.721845685331903,13.495757447181981,0.18161093013379304
5.0,244.625496,30.0,24.926204350138317,23.856954275266443,22.283112549598975,19.693128917734363,13.468818598999267,0.18557337599472223
5.0,244.625496,30.25,24.885897613600065,23.823068943262577,22.252693154652057,19.66463393269537,13.442130519414123,0.18954389217603781
5.0,244.625496,30.5,24.846186265462975,23.7894962527534,22.222494171314015,19.63634701706503,13.415683085248459,0.19352129398009865
5.0,244.625496,30.75,24.807047971504755,23.756227548011367,22.1925101251263,19.608261555446223,13.389465978803859,0.19750477666146915
5.0,244.625496,31.0,24.76846115917415,23.723255886583203,22.162737247091147,19.580372448102896,13.363469222207879,0.20149500271780615
5.0,244.625496,31.25,24.73040505179575,23.690571692938892,22.13316863275318,19.552672454729734,13.337683737927417,0.2054911274350198
5.0,244.625496,31.5,24.6928597841558,23.658164384017084,22.103796129740694,19.52515350474464,13.312101158564321,0.20949277206684933
5.0,244.625496,31.75,24.655806394356368,23.62602180212567,22.074609705538734,19.49780620387357,13.286713459313269,0.21349856324709507
5.0,244.625496,32.0,24.6192267205875,23.5941458329348,22.04561504836434,19.470632985766287,13.261512761319022,0.21751184044569408
5.0,244.625496,32.25,24.583103335576414,23.562522087865972,22.01679922198392,19.44362269607404,13.236492182738118,0.22153265487608156
5.0,244.625496,32.5,24.54741968219684,23.53113835334216,21.988151781080006,19.416765925794707,13.211645252112241,0.22555773179900074
5.0,244.625496,32.75,24.5121599439868,23.499989748672743,21.95967047052796,19.39005944697069,13.186965158437946,0.22958629173311443
5.0,244.625496,33.0,24.47730884824139,23.469070621916718,21.93135197898282,19.36349942796445,13.162445361366512,0.23361877834721903
5.0,244.625496,33.25,24.442851703664406,23.438375472754426,21.90319304809887,19.337082181351374,13.138079947180643,0.2376546456606349
5.0,244.625496,33.5,24.408774478167405,23.40789940269138,21.875190989542308,19.310804545609784,13.113863550438174,0.24169445210857327
5.0,244.625496,33.75,24.375063816925163,23.377632129355476,21.847336907612767,19.284658780586202,13.0897912657542,0.24573653286190145
5.0,244.625496,34.0,24.341707008075012,23.347566775821043,21.819625742998127,19.258640002255273,13.06585818771811,0.24978571584006326
5.0,244.625496,34.25,24.30869184865412,23.317700529827352,21.79205693853967,19.23274680197699,13.042059362582984,0.2538381450719942
5.0,244.625496,34.5,24.276006583923515,23.288022653342857,21.76462079384312,19.206971002663238,13.018390225884827,0.2578931982339949
5.0,244.625496,34.75,24.243639943399664,23.258525270628294,21.737310867387865,19.181306804519398,12.994846202088894,0.2619494703576956
5.0,244.625496,35.0,24.211581041982004,23.229204593953963,21.710125280010484,19.155751891511237,12.97142249267963,0.26600718142809293
5.0,244.625496,35.25,24.17981930319468,23.200060773694457,21.683066501869607,19.130307349635142,12.948114566719923,0.27006776640565866
5.0,244.625496,35.5,24.1483445405341,23.17108788766219,21.656129934051645,19.10496906553812,12.924918665011822,0.2741337491635704
5.0,244.625496,35.75,24.1171470915936,23.142275188897028,21.629305461135882,19.079728716848713,12.901831429061243,0.27820205046866764
5.0,244.625496,36.0,24.086217763337263,23.113618800401248,21.602590823691163,19.054583848810406,12.878849127924,0.2822708807012443
5.0,244.625496,36.25,24.055547644107303,23.085115311602895,21.575984166958172,19.02953241741677,12.855967903415012,0.286340828446566
5.0,244.625496,36.5,24.025128078981062,23.056760206737476,21.549482284566913,19.004571412102756,12.833184206147727,0.2904115402580405
5.0,244.625496,36.75,23.994950734042813,23.028548706167243,21.523081611340917,18.97969756890835,12.810494739799507,0.2944856913867549
5.0,244.625496,37.0,23.965007607127454,23.000476219090245,21.496778743187694,18.954907763908675,12.787896326560778,0.2985626881478056
5.0,244.625496,37.25,23.935291000234113,22.972537110245707,21.470569022928693,18.93019794020485,12.76538585761256,0.30263997974111884
5.0,244.625496,37.5,23.90579348660551,22.944726598715622,21.444448734682613,18.905564751776,12.742960202667968,0.3067169813866705
5.0,244.625496,37.75,23.876507867803056,22.917041073493245,21.418415446358562,18.881005849824067,12.720616218515186,0.31079379167748516
5.0,244.625496,38.0,23.8474271552532,22.889480622857942,21.39247090030479,18.856522109102958,12.698350909201816,0.3148755190395594
5.0,244.625496,38.25,23.818544605587434,22.86204127686542,21.366612064034822,18.83211086633874,12.67616175081505,0.3189576989328763
5.0,244.625496,38.5,23.78985380253594,22.834718025131494,21.340834696882602,18.80776851724098,12.654046513690693,0.3230398612769385
5.0,244.625496,38.75,23.761348639421065,22.807506933440358,21.315135776841398,18.7834923737184,12.63200289712618,0.327121502689441
5.0,244.625496,39.0,23.733023233886765,22.780405939204115,21.289514386768612,18.75928137771437,12.610028528491258,0.3312032700071972
5.0,244.625496,39.25,23.70487188968574,22.753410834303807,21.263967067686647,18.73513257679121,12.58812116666206,0.335288088630495
5.0,244.625496,39.5,23.676889112713198,22.726512939693528,21.238485193432254,18.71103904237359,12.566278602133826,0.3393729890926238
5.0,244.625496,39.75,23.649069569207672,22.69971182913496,21.21306969303916,18.687001064285436,12.54449821482791,0.3434560834980352
5.0,244.625496,40.0,23.62140798047232,22.673009090186607,21.187723681983826,18.663020727829025,12.522777421495926,0.3475402292222946
5.0,244.625496,40.25,23.593899195453176,22.646395789622048,21.162438027477997,18.639090820103934,12.50111425466898,0.35162422774006874
5.0,244.625496,40.5,23.56653831058254,22.61986866750503,21.13721025258769,18.615209073358375,12.47950663090978,0.3557095384970652
5.0,244.625496,40.75,23.539320559387388,22.5934256328624,21.112039159387717,18.591374246546575,12.457952175467254,0.3597935922572858
5.0,244.625496,41.0,23.51224124771362,22.567064258623947,21.086923100933983,18.567584789976998,12.436448630067233,0.36387674082261595
5.0,244.625496,41.25,23.485295798902506,22.540780473813438,21.061858490511987,18.5438376745556,12.414993916840288,0.36796015721532094
5.0,244.625496,41.5,23.45847978066974,22.51457315111038,21.0368451421118,18.52013246178727,12.393585979054686,0.372044253028785
5.0,244.625496,41.75,23.431788888907782,22.488439810354425,21.01188123295,18.496467507669273,12.372222894750843,0.3761273235171567
5.0,244.625496,42.0,23.40521896830587,22.462377304513204,20.98696414571126,18.472840557357763,12.35090290714393,0.3802092864617243
5.0,244.625496,42.25,23.37876601869845,22.436382055831825,20.962090748908125,18.449248952154964,12.329624270931966,0.3842901863134697
5.0,244.625496,42.5,23.352426162474263,22.41044990427388,20.9372572230055,18.425689490934467,12.308385150218973,0.3883720765171126
5.0,244.625496,42.75,23.326195600938423,22.38457797134764,20.912461229266615,18.40216009174852,12.287183555361999,0.3924523403689893
5.0,244.625496,43.0,23.300070577864883,22.358764105315792,20.887701236705272,18.378659306118855,12.26601743650969,0.3965308494174351
5.0,244.625496,43.25,23.274047383852125,22.333007256311962,20.86297695520114,18.355186659281692,12.244884838736219,0.4006091229557344
5.0,244.625496,43.5,23.248122393404408,22.30730427358882,20.83828560152694,18.331739785808917,12.223784020109976,0.4046870358048692
