温度（℃）,放热倍率,v=2有效比热（kJ/(kg·K)）,v=5有效比热（kJ/(kg·K)）,v=10有效比热（kJ/(kg·K)）,参考速率（K/min）,参考倍率
20.555,1.0,103.7657925802139,42.94631703208556,22.67315851604278,,
20.588,1.0,103.80237713903743,42.960950855614975,22.680475427807487,,
20.622,1.0,103.81797032085562,42.96718812834225,22.683594064171125,,
20.654,1.0,103.81254625668448,42.96501850267379,22.682509251336896,,
20.687,1.0,103.78643081550803,42.95457232620321,22.677286163101606,,
20.72,1.0,103.74021537433154,42.93608614973262,22.668043074866308,,
20.753,1.0,103.6738999331551,42.909559973262034,22.654779986631016,,
20.787,1.0,103.58779311497327,42.87511724598931,22.637558622994653,,
20.818,1.0,103.48216042780747,42.83286417112299,22.616432085561495,,
20.853,1.0,103.35736223262032,42.78294489304813,22.591472446524065,,
20.885,1.0,103.21333816844921,42.725335267379684,22.56266763368984,,
20.917,1.0,103.05071410427809,42.66028564171123,22.530142820855616,,
20.952,1.0,102.8695159090909,42.58780636363636,22.49390318181818,,
20.986,1.0,102.6700090909091,42.50800363636365,22.454001818181823,,
21.019,1.0,102.45279364973263,42.421117459893054,22.410558729946526,,
21.051,1.0,102.21726958556148,42.32690783422459,22.363453917112295,,
21.083,1.0,101.96434552139038,42.22573820855615,22.312869104278075,,
21.117,1.0,101.69403870320856,42.11761548128342,22.25880774064171,,
21.15,1.0,101.4066232620321,42.00264930481284,22.20132465240642,,
21.184,1.0,101.10181644385028,41.880726577540116,22.140363288770057,,
21.218,1.0,100.78050962566844,41.75220385026738,22.07610192513369,,
21.248,1.0,100.442068315508,41.6168273262032,22.0084136631016,,
21.284,1.0,100.0871787433155,41.474871497326205,21.937435748663102,,
21.316,1.0,99.7160546791444,41.32642187165776,21.863210935828878,,
21.348,1.0,99.32813061497325,41.1712522459893,21.78562612299465,,
21.381,1.0,98.9243151737968,41.00972606951872,21.70486303475936,,
21.413,1.0,98.50429110962568,40.841716443850274,21.620858221925136,,
21.445,1.0,98.06836704545455,40.66734681818182,21.53367340909091,,
21.479,1.0,97.61656022727274,40.486624090909096,21.443312045454547,,
21.513,1.0,97.14885340909092,40.29954136363637,21.349770681818185,,
21.546,1.0,96.66553796791446,40.10621518716578,21.25310759358289,,
21.579,1.0,96.16662252673798,39.90664901069519,21.153324505347594,,
21.612,1.0,95.6521070855615,39.7008428342246,21.0504214171123,,
21.645,1.0,95.12229164438502,39.488916657754004,20.944458328877,,
21.679,1.0,94.57688482620321,39.270753930481284,20.83537696524064,,
21.711,1.0,94.01616076203209,39.04646430481284,20.723232152406418,,
21.743,1.0,93.44013669786095,38.81605467914438,20.60802733957219,,
21.777,1.0,92.84912987967915,38.57965195187166,20.48982597593583,,
21.811,1.0,92.24282306149732,38.337129224598925,20.368564612299462,,
21.843,1.0,91.6217989973262,38.08871959893048,20.24435979946524,,
21.876,1.0,90.98578355614974,37.83431342245989,20.117156711229946,,
21.909,1.0,90.33476811497326,37.573907245989304,19.98695362299465,,
21.941,1.0,89.66904405080214,37.307617620320855,19.853808810160427,,
21.974,1.0,88.98892860962566,37.035571443850266,19.717785721925132,,
22.007,1.0,88.2941131684492,36.75764526737968,19.57882263368984,,
22.041,1.0,87.58520635026738,36.474082540106956,19.437041270053477,,
22.074,1.0,86.8618909090909,36.18475636363636,19.29237818181818,,
22.106,1.0,86.12416684491978,35.88966673796791,19.144833368983953,,
22.14,1.0,85.37296002673797,35.589184010695185,18.99459200534759,,
22.173,1.0,84.6076445855615,35.2830578342246,18.8415289171123,,
22.206,1.0,83.82852914438503,34.97141165775401,18.685705828877005,,
22.239,1.0,83.03621370320855,34.654485481283416,18.527242740641707,,
22.273,1.0,82.23040688502675,34.3321627540107,18.36608137700535,,
22.306,1.0,81.41169144385026,34.0046765775401,18.20233828877005,,
22.338,1.0,80.58036737967916,33.67214695187166,18.03607347593583,,
22.371,1.0,79.73615193850267,33.33446077540107,17.867230387700534,,
22.403,1.0,78.87962787433155,32.99185114973262,17.69592557486631,,
22.437,1.0,78.01082105614972,32.64432842245989,17.522164211229946,,
22.468,1.0,77.13058836898396,32.29223534759358,17.34611767379679,,
22.502,1.0,76.23868155080214,31.935472620320855,17.16773631016043,,
22.536,1.0,75.33567473262032,31.574269893048125,16.987134946524062,,
22.568,1.0,74.42155066844921,31.208620267379683,16.804310133689842,,
