温度（℃）,放热倍率,v=2有效比热（kJ/(kg·K)）,v=5有效比热（kJ/(kg·K)）,v=10有效比热（kJ/(kg·K)）,参考速率（K/min）,参考倍率
22.601,1.0,73.49723522727272,30.83889409090909,16.619447045454546,,
22.633,1.0,72.5627111631016,30.465084465240636,16.432542232620317,,
22.668,1.0,71.61831296791445,30.087325187165778,16.24366259358289,,
22.701,1.0,70.66459752673798,29.70583901069519,16.052919505347596,,
22.733,1.0,69.70187346256685,29.32074938502674,15.860374692513371,,
22.766,1.0,68.73075802139039,28.932303208556153,15.666151604278078,,
22.799,1.0,67.75154258021391,28.54061703208556,15.470308516042781,,
22.833,1.0,66.76483576203209,28.145934304812833,15.272967152406418,,
22.867,1.0,65.77092894385028,27.74837157754011,15.074185788770055,,
22.899,1.0,64.77010487967914,27.348041951871654,14.874020975935828,,
22.932,1.0,63.763589438502656,26.945435775401066,14.672717887700534,,
22.966,1.0,62.75108262032085,26.540433048128342,14.470216524064172,,
22.998,1.0,61.73375855614972,26.13350342245989,14.266751711229945,,
23.032,1.0,60.7119517379679,25.724780695187164,14.062390347593583,,
23.066,1.0,59.68624491978609,25.314497967914438,13.85724898395722,,
23.098,1.0,58.65692085561497,24.902768342245988,13.651384171122995,,
23.132,1.0,57.62491403743315,24.48996561497326,13.444982807486632,,
23.165,1.0,56.59079859625667,24.07631943850267,13.238159719251335,,
23.197,1.0,55.55487453208556,23.661949812834226,13.030974906417114,,
23.231,1.0,54.518067713903726,23.24722708556149,12.823613542780746,,
23.263,1.0,53.48094364973261,22.832377459893046,12.616188729946524,,
23.298,1.0,52.44384545454545,22.41753818181818,12.408769090909091,,
23.332,1.0,51.40793863636364,22.003175454545456,12.201587727272729,,
23.365,1.0,50.373223195187165,21.58928927807487,11.994644639037435,,
23.4,1.0,49.340624999999996,21.17625,11.788125,,
23.43,1.0,48.31068368983957,20.76427347593583,11.582136737967916,,
23.464,1.0,47.284076871657746,20.3536307486631,11.376815374331551,,
23.498,1.0,46.26167005347593,19.944668021390374,11.172334010695188,,
23.531,1.0,45.24345461229946,19.537381844919782,10.968690922459892,,
23.565,1.0,44.230647794117644,19.132259117647056,10.766129558823529,,
23.597,1.0,43.22352372994652,18.729409491978608,10.564704745989305,,
23.631,1.0,42.2227169117647,18.32908676470588,10.364543382352942,,
23.665,1.0,41.22881009358289,17.931524037433157,10.165762018716578,,
23.699,1.0,40.24240327540107,17.536961310160425,9.968480655080214,,
23.73,1.0,39.26407058823529,17.14562823529412,9.77281411764706,,
23.765,1.0,38.29417239304812,16.757668957219252,9.578834478609625,,
23.797,1.0,37.333548328877,16.373419331550803,9.3867096657754,,
23.83,1.0,36.38223288770053,15.992893155080214,9.196446577540106,,
23.864,1.0,35.44142606951871,15.616570427807488,9.008285213903743,,
23.896,1.0,34.510802005347585,15.244320802139036,8.822160401069517,,
23.93,1.0,33.59129518716578,14.876518074866311,8.638259037433155,,
23.966,1.0,32.68290561497326,14.513162245989303,8.45658112299465,,
23.998,1.0,31.786481550802137,14.154592620320857,8.277296310160429,,
24.033,1.0,30.90238335561497,13.80095334224599,8.100476671122994,,
24.067,1.0,30.030576537433156,13.452230614973264,7.926115307486631,,
24.101,1.0,29.171669719251337,13.108667887700538,7.754333943850268,,
24.134,1.0,28.325654278074868,12.77026171122995,7.585130855614974,,
24.167,1.0,27.493438836898395,12.43737553475936,7.41868776737968,,
24.201,1.0,26.674432018716576,12.109772807486632,7.254886403743315,,
24.233,1.0,25.86950795454545,11.787803181818182,7.093901590909091,,
24.268,1.0,25.078709759358283,11.471483903743314,6.935741951871657,,
24.3,1.0,24.301985695187163,11.160794278074867,6.780397139037433,,
24.335,1.0,23.539687500000007,10.855875000000005,6.627937500000002,,
24.369,1.0,22.792080681818174,10.556832272727272,6.478416136363636,,
24.402,1.0,22.058865240641705,10.263546096256682,6.331773048128341,,
24.435,1.0,21.340049799465238,9.976019919786095,6.188009959893048,,
24.469,1.0,20.63624298128342,9.694497192513369,6.047248596256685,,
24.503,1.0,19.947436163101603,9.418974465240641,5.909487232620321,,
24.537,1.0,19.273029344919784,9.149211737967915,5.774605868983958,,
24.569,1.0,18.613305280748662,8.885322112299466,5.642661056149732,,
24.604,1.0,17.9686070855615,8.6274428342246,5.513721417112301,,
24.637,1.0,17.338291644385027,8.375316657754011,5.387658328877006,,
24.671,1.0,16.722684826203203,8.129073930481281,5.264536965240641,,
24.703,1.0,16.121760762032086,7.888704304812833,5.144352152406417,,
24.737,1.0,15.534953943850267,7.653981577540106,5.026990788770053,,
24.771,1.0,14.962547125668449,7.42501885026738,4.91250942513369,,
24.806,1.0,14.404548930481281,7.2018195721925125,4.800909786096256,,
24.838,1.0,13.860624866310163,6.984249946524065,4.6921249732620325,,
24.873,1.0,13.330526671122994,6.772210668449198,4.586105334224599,,
24.905,1.0,12.814202606951872,6.565681042780749,4.482840521390374,,
24.939,1.0,12.311695788770054,6.364678315508022,4.382339157754011,,
24.972,1.0,11.822380347593581,6.168952139037432,4.284476069518716,,
25.006,1.0,11.346573529411765,5.9786294117647065,4.189314705882353,,
25.038,1.0,10.88394946524064,5.793579786096256,4.096789893048128,,
25.074,1.0,10.434559893048132,5.613823957219253,4.006911978609626,,
25.107,1.0,9.997744451871656,5.4390977807486625,3.9195488903743314,,
25.142,1.0,9.573546256684489,5.269418502673796,3.834709251336898,,
25.175,1.0,9.16193081550802,5.104772326203208,3.7523861631016038,,
25.209,1.0,8.762323997326204,4.944929598930482,3.672464799465241,,
25.242,1.0,8.375008556149728,4.7900034224598915,3.595001711229946,,
25.277,1.0,7.999710360962565,4.639884144385026,3.5199420721925128,,
25.309,1.0,7.636086296791442,4.494434518716577,3.4472172593582884,,
25.344,1.0,7.284188101604279,4.353675240641712,3.376837620320856,,
25.377,1.0,6.943672660427806,4.217469064171123,3.3087345320855612,,
25.411,1.0,6.61426584224599,4.085706336898396,3.242853168449198,,
25.445,1.0,6.295959024064169,3.9583836096256677,3.1791918048128336,,
25.479,1.0,5.9884522058823535,3.8353808823529416,3.117690441176471,,
25.512,1.0,5.691736764705883,3.716694705882353,3.0583473529411767,,
25.547,1.0,5.405538569518714,3.6022154278074856,3.0011077139037425,,
25.579,1.0,5.1295145053475935,3.4918058021390372,2.945902901069519,,
25.614,1.0,4.8637163101604255,3.3854865240641705,2.892743262032085,,
25.647,1.0,4.608100868983957,3.2832403475935825,2.8416201737967914,,
25.68,1.0,4.362085427807486,3.1848341711229944,2.792417085561497,,
25.714,1.0,4.125678609625668,3.090271443850267,2.7451357219251333,,
25.749,1.0,3.898580414438503,2.999432165775401,2.6997160828877007,,
25.782,1.0,3.6810649732620315,2.9124259893048126,2.6562129946524062,,
25.817,1.0,3.4725667780748672,2.8290267112299468,2.6145133556149736,,
25.849,1.0,3.2727427139037433,2.7490970855614973,2.5745485427807484,,
25.883,1.0,3.081635895721925,2.67265435828877,2.536327179144385,,
25.917,1.0,2.8989290775401058,2.599571631016042,2.4997858155080213,,
25.95,1.0,2.724613636363636,2.5298454545454545,2.464922727272727,,
25.986,1.0,2.558424064171124,2.4633696256684496,2.4316848128342246,,
26.018,1.0,2.4,2.4,2.4,,
14.05,1.026214599609375,2.4,2.4,2.4,,
14.084,1.026214599609375,2.5582352943420403,2.463294117736816,2.431647058868408,,
14.118,1.026214599609375,2.723859333801269,2.5295437335205073,2.4647718667602536,,
14.152,1.026214599609375,2.897487847137448,2.5989951388549795,2.4994975694274895,,
14.187,1.026214599609375,3.0791296833935897,2.671651873357436,2.5358259366787177,,
14.221,1.026214599609375,3.2696907376233257,2.7478762950493305,2.573938147524665,,
14.254,1.026214599609375,3.469171009826659,2.8276684039306637,2.613834201965332,,
14.288,1.026214599609375,3.6778960624694803,2.911158424987792,2.655579212493896,,
14.322,1.026214599609375,3.896472775268553,2.9985891101074214,2.6992945550537106,,
14.356,1.026214599609375,4.125209012603759,3.0900836050415035,2.7450418025207517,,
14.39,1.026214599609375,4.364720503234863,3.1858882012939453,2.7929441006469724,,
14.425,1.026214599609375,4.615016096204869,3.286006438481947,2.8430032192409738,,
14.46,1.026214599609375,4.876394806850658,3.390557922740263,2.8952789613701313,,
14.493,1.026214599609375,5.149762530225867,3.4999050120903465,2.9499525060451735,,
14.527,1.026214599609375,5.43514581345951,3.6140583253838043,3.007029162691902,,
14.562,1.026214599609375,5.733160385311351,3.73326415412454,3.06663207706227,,
14.595,1.026214599609375,6.044395427412145,3.8577581709648583,3.128879085482429,,
14.631,1.026214599609375,6.368587320597028,3.987434928238811,3.1937174641194055,,
14.665,1.026214599609375,6.706923277170514,4.122769310868206,3.261384655434103,,
14.698,1.026214599609375,7.059104281795724,4.2636417127182895,3.331820856359145,,
14.733,1.026214599609375,7.426080474741317,4.410432189896527,3.4052160949482633,,
14.767,1.026214599609375,7.807825308878279,4.5631301235513115,3.4815650617756555,,
14.801,1.026214599609375,8.204963362009382,4.721985344803754,3.5609926724018766,,
14.835,1.026214599609375,8.617802498514513,4.887120999405805,3.643560499702902,,
14.87,1.026214599609375,9.046351567436666,5.058540626974667,3.7292703134873335,,
14.904,1.026214599609375,9.491208599449607,5.2364834397798425,3.8182417198899214,,
14.939,1.026214599609375,9.952699157019223,5.42107966280769,3.910539831403845,,
14.973,1.026214599609375,10.43111340643939,5.612445362575755,4.006222681287878,,
15.005,1.026214599609375,10.926442498667102,5.810576999466841,4.105288499733421,,
15.04,1.026214599609375,11.439038543297265,6.015615417318906,4.207807708659453,,
