"时间（s）","贴身侧温度（℃）","阈值时刻（s）","阈值温度（℃）"
61.75,21.92982164999681,,
62,21.908012095609138,,
62.25,21.8861656116679,,
62.5,21.86428003947505,,
62.75,21.8423532161804,,
63,21.82038299324796,,
63.25,21.798367210570703,,
63.5,21.776303622567017,,
63.75,21.754189864149723,,
64,21.732023551126485,,
64.25,21.70980239248921,,
64.5,21.687524052946415,,
64.75,21.66518613832004,,
65,21.642786303096166,,
65.25,21.62032223844753,,
65.5,21.59779155452699,,
65.75,21.575191790995042,,
66,21.552520545740464,,
66.25,21.529775489791383,,
66.5,21.506954285518667,,
66.75,21.484054535076528,,
67,21.461073791725937,,
67.25,21.43800959920077,,
67.5,21.414859558669487,,
67.75,21.39162133853504,,
68,21.36829263625895,,
68.25,21.344871276484405,,
68.5,21.321355149498803,,
68.75,21.297742117429564,,
69,21.274030053239226,,
69.25,21.250216836091475,,
69.5,21.226300447827427,,
69.75,21.20227897428948,,
70,21.178150498449703,,
70.25,21.153913156649796,,
70.5,21.129565206826264,,
70.75,21.105105059788272,,
71,21.080531222671162,,
71.25,21.055842179560134,,
71.5,21.03103643314098,,
71.75,21.006112475202958,,
72,20.981068934621184,,
72.25,20.955904689750575,,
72.5,20.93061872482172,,
72.75,20.905210005678594,,
73,20.879677729685728,,
73.25,20.85402137236068,,
73.5,20.82824063326516,,
73.75,20.802335454640954,,
74,20.77630592634815,,
74.25,20.7501519977607,,
74.5,20.723873579556074,,
74.75,20.697470812803086,,
75,20.670944050259955,,
75.25,20.64429386222475,,
75.5,20.617521089762963,,
75.75,20.590626757934373,,
76,20.563611969894282,,
76.25,20.536477771701843,,
76.5,20.5092251704555,,
76.75,20.481855304748112,,
77,20.45436947904133,,
77.25,20.426769098969675,,
77.5,20.399055683730246,,
77.75,20.371230888079435,,
78,20.343296360870315,,
78.25,20.31525364471131,,
78.5,20.28710426664673,,
78.75,20.25884981515359,,
79,20.230491861718185,,
79.25,20.202031938804982,,
79.5,20.17347151966248,,
79.75,20.14481197895517,,
80,20.116054637640094,,
80.25,20.087200799829674,,
80.5,20.058251699647247,,
80.75,20.029208400391532,,
81,20.00007177003253,,
81.25,19.9708425272394,,
81.5,19.94152119441525,,
81.75,19.912108047177814,,
82,19.88260310750645,,
82.25,19.853006151203154,,
82.5,19.823316746571265,,
82.75,19.793534266787212,,
83,19.76365780681021,,
83.25,19.7336860554868,,
83.5,19.703617255880364,,
83.75,19.673449244057366,,
84,19.643179432404487,,
84.25,19.612804913737836,,
84.5,19.582322613251996,,
84.75,19.551729102764828,,
85,19.52102042092427,,
85.25,19.49019203986502,,
85.5,19.459238951649276,,
85.75,19.428155533647466,,
86,19.39693579125579,,
86.25,19.365573441904807,,
86.5,19.334061584248936,,
86.75,19.30239233025094,,
87,19.270557137425257,,
87.25,19.23854673668049,,
87.5,19.20635116738434,,
87.75,19.17395977589577,,
88,19.14136112883105,,
88.25,19.108542916896205,,
88.5,19.075491663776866,,
88.75,19.042192970486287,,
89,19.00863144270038,,
89.25,18.97479020327475,,
89.5,18.9406508354021,,
89.75,18.90619366402559,,
90,18.87139756073646,,
90.25,18.8362392686952,,
90.5,18.800694030373734,,
90.75,18.76473533684532,,
91,18.72833392137838,,
91.25,18.69145827672722,,
91.5,18.654074600755894,,
91.75,18.61614631520386,,
92,18.577633260091257,,
92.25,18.538491412036308,,
92.5,18.498673057569402,,
92.75,18.45812511357797,,
93,18.416788254308464,,
93.25,18.374597751377802,,
93.5,18.331482988890443,,
93.75,18.287365496590894,,
94,18.242158934091254,,
94.25,18.195767761330472,,
94.5,18.148085762287074,,
94.75,18.09899366208047,,
95,18.048358242298633,,
95.25,17.996031015346983,,
95.5,17.94184618000208,,
95.75,17.885620341603996,,
96,17.82715084704546,,
96.25,17.7662168898121,,
96.5,17.70258188949817,,
96.75,17.635996883380574,,
97,17.566209704175726,,
97.25,17.492975900296255,,
97.5,17.416072706647398,,
97.75,17.335340329587414,,
98,17.250799711095862,,
98.25,17.16270714415099,,
98.5,17.071465328199114,,
98.75,16.977514146994675,,
99,16.88126988523217,,
99.25,16.78310101224523,,
99.5,16.683322887429952,,
99.75,16.58220086282661,,
100,16.479956479102725,,
100.25,16.376774283026258,,
100.5,16.272808205542226,,
100.75,16.16818711541558,,
101,16.06301947506506,,
101.25,15.95739715945994,,
101.5,15.851398548001756,,
101.75,15.74509100859726,,
102,15.638532885023249,,
102.25,15.531775084112423,,
102.5,15.424862343444646,,
102.75,15.31783424542031,,
103,15.210726030702073,,
103.25,15.103569253223633,,
