扫描速率（K/min）,潜热（kJ/kg）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,功能层平均温度（℃）,界面23温度（℃）,外表面温度（℃）,固化进度
2.0,611.5637399999999,242.25,21.624178218889544,21.10017364249596,20.565103693503495,19.676060632600258,17.547207155286355,0.4534412468871108
2.0,611.5637399999999,242.5,21.62079823692101,21.096694422108154,20.56163391766847,19.672639778563923,17.543937292961783,0.4540165043357545
2.0,611.5637399999999,242.75,21.617418621537237,21.09321549206804,20.558164403915402,19.66921918768312,17.54066770126942,0.4545917183726464
2.0,611.5637399999999,243.0,21.614039365769123,21.08973685176446,20.554695152436143,19.665798859255464,17.5373983759364,0.45516688896199925
2.0,611.5637399999999,243.25,21.610660463151003,21.08625849524669,20.55122615730993,19.66237878745788,17.53412931338465,0.4557419924499709
2.0,611.5637399999999,243.5,21.60728190766672,21.08278036644173,20.5477573554999,19.658958918041346,17.530860509749562,0.4563168082565675
2.0,611.5637399999999,243.75,21.603903693344304,21.079302464418863,20.544288747606018,19.655539249998068,17.527591956370223,0.456891592030488
2.0,611.5637399999999,244.0,21.600525813197283,21.07582478847752,20.54082033404838,19.65211978257653,17.5243236419722,0.4574663436723177
2.0,611.5637399999999,244.25,21.59714825929396,21.072347337975934,20.53735211517537,19.648700515037536,17.52105555666126,0.4580410631124459
2.0,611.5637399999999,244.5,21.59377102347506,21.06887011229746,20.533884091286968,19.645281446629042,17.51778769231365,0.45861575029314533
2.0,611.5637399999999,244.75,21.5903940978054,21.0653931108371,20.530416262646,19.641862576602275,17.514520042306742,0.45919040516470894
2.0,611.5637399999999,245.0,21.587017474773692,21.06191633299479,20.52694862948525,19.638443904229792,17.511252601224278,0.4597650276835862
2.0,611.5637399999999,245.25,21.583641147360698,21.058439778172605,20.523481192012518,19.635025428817894,17.50798536461374,0.4603396178112044
2.0,611.5637399999999,245.5,21.58026510904642,21.05496344577436,20.52001395041451,19.631607149713616,17.50471832879456,0.4609141755131313
2.0,611.5637399999999,245.75,21.576889353789685,21.051487313086966,20.516546879626645,19.628189044921807,17.501451490548593,0.46148858977361507
2.0,611.5637399999999,246.0,21.57351387588646,21.04801132373386,20.513079916480006,19.624771059896155,17.498184844774443,0.46206269647934456
2.0,611.5637399999999,246.25,21.570138669251413,21.044535476761485,20.509613061648285,19.62135319360364,17.494918380547453,0.46263678536093594
2.0,611.5637399999999,246.5,21.566763726366474,21.041059771463647,20.506146315608845,19.61793544525891,17.491652084540302,0.46321085630683334
2.0,611.5637399999999,246.75,21.56338903856493,21.037584207199043,20.502679678757488,19.6145178140718,17.488385945184973,0.46378490923799087
2.0,611.5637399999999,247.0,21.560014596892753,21.034108783352973,20.49921315143458,19.611100299227083,17.485119953013196,0.4643589440888684
2.0,611.5637399999999,247.25,21.55664039262973,21.03063349932136,20.495746733937942,19.60768289990658,17.48185410032122,0.4649329608031051
2.0,611.5637399999999,247.5,21.553266417519204,21.02715835450277,20.49228042653104,19.604265615311668,17.47858838081991,0.46550695933138586
2.0,611.5637399999999,247.75,21.549892663847054,21.02368334829508,20.488814229448884,19.600848444678583,17.47532278934876,0.46608093963008324
2.0,611.5637399999999,248.0,21.546519124451056,21.020208477355585,20.485348139776995,19.597431384638394,17.4720573216306,0.46665487414402773
2.0,611.5637399999999,248.25,21.543145792684165,21.016733692687996,20.48188210253393,19.594014387722392,17.4687919735208,0.46722830499261714
2.0,611.5637399999999,248.5,21.539772662091618,21.013258993394647,20.478416118270985,19.5905974529185,17.465526736964186,0.4678017271673672
2.0,611.5637399999999,248.75,21.536399725478717,21.00978437877568,20.474950187380607,19.5871805794489,17.46226160172685,0.4683751405770713
2.0,611.5637399999999,249.0,21.533026974938906,21.00630984818128,20.47148431019063,19.58376376655787,17.458996558838955,0.46894854515680295
2.0,611.5637399999999,249.25,21.529654402456252,21.002835400983283,20.46801848698473,19.580347013488844,17.455731600921933,0.46952194085232535
2.0,611.5637399999999,249.5,21.52628200028483,20.999361036564157,20.4645527180124,19.576930319497286,17.45246672194569,0.4700953276167067
2.0,611.5637399999999,249.75,21.522909761113333,20.995886754311694,20.461087003495297,19.573513683865364,17.449201916965336,0.47066870540867095
2.0,611.5637399999999,250.0,21.519537678117505,20.992412553616944,20.45762134363187,19.570097105911863,17.445937181904473,0.471242074191547
2.0,611.5637399999999,250.25,21.51616574496088,20.988938433874154,20.454155738600797,19.56668058499752,17.442672513383762,0.47181543393250364
2.0,611.5637399999999,250.5,21.51279395577245,20.985464378664176,20.450690170515593,19.56326410523248,17.439407908472326,0.4723886290984998
2.0,611.5637399999999,250.75,21.50942230503619,20.981990338178452,20.44722458359818,19.5598476184482,17.436143362921705,0.4729613353368689
2.0,611.5637399999999,251.0,21.506050787022435,20.97851631149311,20.443758978419833,19.55643112368341,17.43287886756079,0.4735340446873749
2.0,611.5637399999999,251.25,21.50267939485471,20.975042297901442,20.440293355381467,19.55301462020083,17.429614411043676,0.47410675705561217
2.0,611.5637399999999,251.5,21.49930812071038,20.971568296755198,20.436827714813695,19.549598107265613,17.426349983490013,0.4746794723753261
2.0,611.5637399999999,251.75,21.495936956547368,20.968094307431702,20.433362056999307,19.546181584126053,17.42308557679819,0.475252190591881
2.0,611.5637399999999,252.0,21.492565894547315,20.964620329320237,20.4298963821843,19.542765050031512,17.41982118436498,0.47582491165854446
2.0,611.5637399999999,252.25,21.48919492731027,20.96114636181519,20.426430690584947,19.539348504251112,17.416556800789564,0.4763976355346638
2.0,611.5637399999999,252.5,21.485824047920705,20.95767240431315,20.42296498239279,19.535931946086457,17.413292421631123,0.47697036218449834
2.0,611.5637399999999,252.75,21.482453249954208,20.9541984562125,20.419499257778476,19.532515374878827,17.41002804321755,0.4775430915763948
2.0,611.5637399999999,253.0,21.479082527456615,20.950724482712214,20.416033477864374,19.529098756939554,17.406763662249567,0.47811549316341695
2.0,611.5637399999999,253.25,21.4757118747435,20.947250438214553,20.412567591925054,19.525682048111126,17.403499272534773,0.4786874711153584
2.0,611.5637399999999,253.5,21.47234128551182,20.943776321770596,20.409101600560668,19.52226524736089,17.400234862354765,0.4792594665652625
2.0,611.5637399999999,253.75,21.468970751997666,20.94030213264656,20.40563550419423,19.5188483538556,17.39697041839105,0.4798314794140826
2.0,611.5637399999999,254.0,21.46560026540691,20.936827870167267,20.402169303170663,19.515431366750636,17.39370592920074,0.48040350959200606
2.0,611.5637399999999,254.25,21.46222981673852,20.933353533681363,20.39870299778087,19.512014285178296,17.390441385422655,0.48097555704210826
2.0,611.5637399999999,254.5,21.458859397263424,20.929879122546442,20.395236588273995,19.50859710827081,17.387176779430206,0.4815476217163798
2.0,611.5637399999999,254.75,21.455488998731386,20.926404636121678,20.39177007486538,19.505179835182204,17.383912104985924,0.482119703573703
