温度（℃）,原始放热功率（W/kg）,端点线性基线（W/kg）,校正放热功率（W/kg）,固化进度
21.909,3332.7599999999998,401.6010628342246,2931.158937165775,0.24085639853699065
21.941,3310.56,401.59186497326203,2908.968135026738,0.23627263921428718
21.974,3287.88,401.5823796791444,2886.2976203208555,0.23158194818525862
22.007,3264.71,401.57289438502676,2863.1371056149733,0.2269283528145809
22.041,3241.07,401.56312165775404,2839.506878342246,0.22217275950256068
22.074,3216.9500000000003,401.5536363636364,2815.3963636363637,0.217595677962737
22.106,3192.35,401.5444385026738,2790.805561497326,0.2131955202227373
22.14,3167.3,401.5346657754011,2765.765334224599,0.20856174131881128
22.173,3141.7799999999997,401.5251804812834,2740.2548195187164,0.20410516582579277
22.206,3115.8,401.5156951871658,2714.2843048128343,0.19969025910397795
22.239,3089.3799999999997,401.50620989304815,2687.8737901069517,0.19531774961382178
22.273,3062.51,401.49643716577543,2661.013562834225,0.19085716378837714
22.306,3035.21,401.48695187165777,2633.7230481283423,0.18657160130158457
22.338,3007.4900000000002,401.4777540106952,2606.012245989305,0.18245907340518497
22.371,2979.34,401.46826871657754,2577.8717312834224,0.17826323509608277
22.403,2950.7799999999997,401.459070855615,2549.3209291443845,0.17423903889863432
22.437,2921.81,401.44929812834226,2520.3607018716575,0.17001129048467772
22.468,2892.46,401.44038770053476,2491.0196122994653,0.16620090786439765
22.502,2862.72,401.43061497326204,2461.289385026738,0.16207103975181744
22.536,2832.6099999999997,401.4208422459893,2431.1891577540105,0.15799106591815235
22.568,2802.13,401.41164438502676,2400.7183556149735,0.15419863112400137
22.601,2771.31,401.4021590909091,2369.9078409090907,0.15033728387133521
22.633,2740.1499999999996,401.39296122994654,2338.757038770053,0.14664157891955704
22.668,2708.66,401.3829010695187,2307.2770989304813,0.1426531673072322
22.701,2676.86,401.3734157754011,2275.486584224599,0.1389438760677584
22.733,2644.76,401.36421791443854,2243.3957820855617,0.13539712632777404
22.766,2612.38,401.3547326203209,2211.0252673796795,0.13179171568082307
22.799,2579.73,401.3452473262032,2178.384752673797,0.12823892499390865
22.833,2546.83,401.3354745989305,2145.4945254010695,0.12463312189018294
22.867,2513.69,401.32570187165777,2112.3642981283424,0.12108237507841128
22.899,2480.3199999999997,401.3165040106952,2079.0034959893046,0.11779268275431033
22.932,2446.7599999999998,401.30701871657755,2045.452981283422,0.11445434559872643
22.966,2413.0,401.2972459893048,2011.7027540106951,0.11107097067038266
22.998,2379.08,401.28804812834227,1977.7919518716576,0.10793972312646594
23.032,2345.0099999999998,401.27827540106955,1943.7317245989302,0.10466945554160234
23.066,2310.81,401.26850267379683,1909.5414973262032,0.10145610390767167
23.098,2276.49,401.2593048128342,1875.2306951871656,0.09848553758141039
23.132,2242.08,401.2495320855615,1840.8304679144385,0.09538661089687223
23.165,2207.6,401.2400467914439,1806.359953208556,0.09243457312815861
23.197,2173.06,401.2308489304813,1771.8291510695187,0.0896261483349335
23.231,2138.49,401.22107620320855,1737.2689237967911,0.08669981392180766
23.263,2103.91,401.211878342246,1702.6981216577537,0.08399987592054849
23.298,2069.33,401.2018181818182,1668.1281818181817,0.0811061729529319
23.332,2034.7900000000002,401.19204545454545,1633.5979545454547,0.07835277176281952
23.365,2000.2900000000002,401.18256016042784,1599.1074398395724,0.07573621838406545
23.4,1965.86,401.1725,1564.6875,0.07302024254250267
23.43,1931.52,401.1638770053476,1530.3561229946524,0.07074285175025648
23.464,1897.29,401.1541042780749,1496.135895721925,0.06821897594044243
23.498,1863.2,401.1443315508022,1462.0556684491978,0.06575205777795068
23.531,1829.25,401.1348462566845,1428.1151537433154,0.06341275205491159
23.565,1795.48,401.1250735294118,1394.3549264705882,0.061059015810004086
23.597,1761.9,401.11587566844923,1360.7841243315509,0.05889658095998333
23.631,1728.53,401.10610294117646,1327.4238970588235,0.05665480957747945
23.665,1695.3899999999999,401.09633021390374,1294.2936697860962,0.05446848643299272
23.699,1662.5,401.086557486631,1261.4134425133689,0.052337211241182256
23.73,1629.88,401.0776470588236,1228.8023529411767,0.0504437857989114
23.765,1597.54,401.06758689839575,1196.4724131016042,0.04836179635301577
23.797,1565.51,401.0583890374332,1164.4516109625667,0.046508770319211336
23.83,1533.79,401.0489037433155,1132.7410962566844,0.04464942138188969
23.864,1502.42,401.0391310160428,1101.3808689839573,0.04278632498203968
23.896,1471.3899999999999,401.02993315508024,1070.3600668449196,0.04108178368729604
23.93,1440.73,401.0201604278075,1039.7098395721925,0.039322137747082694
23.966,1410.4399999999998,401.0098128342246,1009.4301871657752,0.03751278323165877
23.998,1380.55,401.00061497326203,979.5493850267379,0.035951686436331426
24.033,1351.07,400.99055481283426,950.0794451871657,0.03429518676245883
24.067,1322.0,400.9807820855615,921.0192179144385,0.03273482558378302
24.101,1293.3600000000001,400.97100935828877,892.3889906417114,0.03122257407854563
24.134,1265.15,400.96152406417116,864.1884759358289,0.02980079939001371
24.167,1237.4,400.9520387700535,836.4479612299466,0.028424303398938297
24.201,1210.0900000000001,400.9422660427808,809.1477339572193,0.02705199541261879
24.233,1183.25,400.9330681818182,782.3169318181817,0.025802897420687164
24.268,1156.8799999999999,400.9230080213904,755.9569919786095,0.02448235835472927
24.3,1130.98,400.91381016042783,730.0661898395722,0.02331601855951393
24.335,1105.5600000000002,400.90375,704.6562500000002,0.022084373791111247
24.369,1080.6299999999999,400.8939772727273,679.7360227272726,0.020929890598417572
24.402,1056.1799999999998,400.8844919786096,655.2955080213902,0.019849315403229227
24.435,1032.21,400.875006684492,631.334993315508,0.018807916025689743
24.469,1008.74,400.8652339572193,607.8747660427807,0.0177745045659574
24.503,985.77,400.8554612299465,584.9145387700535,0.01677980441343605
24.537,963.28,400.8456885026738,562.4343114973262,0.015822998318888417
24.569,941.28,400.83649064171124,540.4435093582888,0.0149573790557014
24.604,919.7800000000001,400.82643048128347,518.9535695187167,0.014047934250470748
24.637,898.76,400.8169451871658,497.9430548128342,0.013224857609196795
24.671,878.2299999999999,400.8071724598931,477.4228275401068,0.012411472891522096
24.703,858.19,400.7979745989305,457.39202540106953,0.01167776175061671
