衣料初温（℃）,时间（s）,贴身侧温度（℃）
37.0,101.75,22.86623537467085
37.0,102.0,22.857265012416867
37.0,102.25,22.848312550129442
37.0,102.5,22.839377783903153
37.0,102.75,22.83046052914624
37.0,103.0,22.821560617480486
37.0,103.25,22.812677890491987
37.0,103.5,22.803812191301525
37.0,103.75,22.7949633624866
37.0,104.0,22.78613124741893
37.0,104.25,22.77731568419776
37.0,104.5,22.768516494036337
37.0,104.75,22.75973348541415
37.0,105.0,22.75096646504801
37.0,105.25,22.74221524449892
37.0,105.5,22.73347964306861
37.0,105.75,22.724759488641137
37.0,106.0,22.716054616735555
37.0,106.25,22.70736486629429
37.0,106.5,22.698690077256146
37.0,106.75,22.690030092364665
37.0,107.0,22.681384758388674
37.0,107.25,22.672753922667596
37.0,107.5,22.66413743253813
37.0,107.75,22.6555351382063
37.0,108.0,22.64694689369207
37.0,108.25,22.63837255263668
37.0,108.5,22.629811968618544
37.0,108.75,22.621264998185985
37.0,109.0,22.612731499346825
37.0,109.25,22.60421132396246
37.0,109.5,22.59570431911079
37.0,109.75,22.587210333090972
37.0,110.0,22.578729217235544
37.0,110.25,22.570260823175353
37.0,110.5,22.561805003932317
37.0,110.75,22.553361617240046
37.0,111.0,22.544930528603977
37.0,111.25,22.53651161483692
37.0,111.5,22.528104763493655
37.0,111.75,22.519709869700417
37.0,112.0,22.51132683149739
37.0,112.25,22.502955545482607
37.0,112.5,22.494595907565422
37.0,112.75,22.48624781427341
37.0,113.0,22.47791115807485
37.0,113.25,22.469585824106886
37.0,113.5,22.461271693999382
37.0,113.75,22.452968650681804
37.0,114.0,22.444676580234596
37.0,114.25,22.436395372517882
37.0,114.5,22.428124921908257
37.0,114.75,22.419865126690553
37.0,115.0,22.411615884685094
37.0,115.25,22.403377092063998
37.0,115.5,22.395148645936484
37.0,115.75,22.386930442419153
37.0,116.0,22.37872236134038
37.0,116.25,22.370524265877897
37.0,116.5,22.362336013675638
37.0,116.75,22.35415746689113
37.0,117.0,22.34598850549549
37.0,117.25,22.337829034353962
37.0,117.5,22.329678977641816
37.0,117.75,22.321538266395347
37.0,118.0,22.313406816775174
37.0,118.25,22.305284526954637
37.0,118.5,22.297171287399554
37.0,118.75,22.289066987616252
37.0,119.0,22.280971515966087
37.0,119.25,22.272884760273573
37.0,119.5,22.264806610808385
37.0,119.75,22.25673696216021
37.0,120.0,22.248675712431982
37.0,120.25,22.240622762550583
37.0,120.5,22.232578017159895
37.0,120.75,22.224541384514175
37.0,121.0,22.216512771919398
37.0,121.25,22.208492082736328
37.0,121.5,22.200479219094102
37.0,121.75,22.192474085521066
37.0,122.0,22.184476590640468
37.0,122.25,22.176486647596768
37.0,122.5,22.16850417425261
37.0,122.75,22.16052909267712
37.0,123.0,22.1525613260781
37.0,123.25,22.14460079570784
37.0,123.5,22.136647422154674
37.0,123.75,22.128701127135432
37.0,124.0,22.120761830645108
37.0,124.25,22.11282944770417
37.0,124.5,22.104903890830183
37.0,124.75,22.0969850734307
37.0,125.0,22.08907290857091
37.0,125.25,22.081167305668103
37.0,125.5,22.07326817241811
37.0,125.75,22.065375418418437
37.0,126.0,22.057488955094414
37.0,126.25,22.049608690933667
37.0,126.5,22.041734532312947
37.0,126.75,22.033866387488157
37.0,127.0,22.026004168777217
37.0,127.25,22.018147792770463
37.0,127.5,22.01029718029413
37.0,127.75,22.002452256680836
37.0,128.0,21.994612950892613
37.0,128.25,21.986779191234874
37.0,128.5,21.97895090383043
37.0,128.75,21.97112801498657
37.0,129.0,21.963310451999565
37.0,129.25,21.955498137744847
37.0,129.5,21.947690988806762
37.0,129.75,21.93988891961934
37.0,130.0,21.932091846498352
37.0,130.25,21.924299689050866
37.0,130.5,21.91651236996762
37.0,130.75,21.908729815456145
37.0,131.0,21.900951955115925
37.0,131.25,21.893178717897005
37.0,131.5,21.885410027406337
37.0,131.75,21.877645803937334
37.0,132.0,21.869885968670836
37.0,132.25,21.8621304445922
37.0,132.5,21.854379153302233
37.0,132.75,21.846632015695295
37.0,133.0,21.8388889549058
37.0,133.25,21.831149896709103
37.0,133.5,21.823414765120408
37.0,133.75,21.815683482191623
37.0,134.0,21.807955971210102
37.0,134.25,21.80023215787807
37.0,134.5,21.792511966956862
37.0,134.75,21.784795321197958
37.0,135.0,21.77708214396067
37.0,135.25,21.769372360897474
37.0,135.5,21.76166589750857
37.0,135.75,21.75396267710413
37.0,136.0,21.74626262285612
37.0,136.25,21.738565659891332
37.0,136.5,21.730871713360944
37.0,136.75,21.723180706142934
37.0,137.0,21.71549256073644
37.0,137.25,21.70780720195277
37.0,137.5,21.700124556329808
37.0,137.75,21.692444547886467
37.0,138.0,21.68476709890191
37.0,138.25,21.677092133382747
37.0,138.5,21.669419577776544
37.0,138.75,21.661749356706625
37.0,139.0,21.654081393017464
37.0,139.25,21.64641561103488
37.0,139.5,21.63875193759076
37.0,139.75,21.63109029806165
37.0,140.0,21.623430614125734
37.0,140.25,21.61577280655356
37.0,140.5,21.60811679791816
37.0,140.75,21.60046251139663
37.0,141.0,21.592809869410974
37.0,141.25,21.585158795366272
37.0,141.5,21.57750921559311
37.0,141.75,21.569861058138724
37.0,142.0,21.562214248662634
37.0,142.25,21.554568711297954
37.0,142.5,21.546924371963396
37.0,142.75,21.539281158719252
37.0,143.0,21.53163899635162
37.0,143.25,21.5239978057897
37.0,143.5,21.51635750801842
37.0,143.75,21.5087180262324
37.0,144.0,21.501079283648487
37.0,144.25,21.49344120240718
37.0,144.5,21.485803705704438
37.0,144.75,21.478166719262454
37.0,145.0,21.470530167932314
37.0,145.25,21.46289397010964
37.0,145.5,21.455258039813266
37.0,145.75,21.447622291726262
37.0,146.0,21.439986643644485
37.0,146.25,21.432351016816824
37.0,146.5,21.424715336470275
37.0,146.75,21.417079532398898
37.0,147.0,21.409443536274676
37.0,147.25,21.40180727005594
37.0,147.5,21.394170643234812
37.0,147.75,21.38653355993318
37.0,148.0,21.378895925314506
37.0,148.25,21.371257648895078
37.0,148.5,21.363618645803708
37.0,148.75,21.35597883700251
37.0,149.0,21.348338148238234
37.0,149.25,21.340696505727717
37.0,149.5,21.33305383297341
37.0,149.75,21.32541005264928
37.0,150.0,21.31776508929018
37.0,150.25,21.310118868406324
37.0,150.5,21.302471312366936
37.0,150.75,21.294822341451926
37.0,151.0,21.287171877422423
37.0,151.25,21.279519842151533
37.0,151.5,21.27186614504316
37.0,151.75,21.264210682117046
37.0,152.0,21.256553344773383
37.0,152.25,21.24889402690494
37.0,152.5,21.24123263025048
37.0,152.75,21.23356906552124
37.0,153.0,21.22590325105846
37.0,153.25,21.21823510936689
37.0,153.5,21.210564556870434
37.0,153.75,21.202891499609606
37.0,154.0,21.195215838537305
37.0,154.25,21.187537475504712
37.0,154.5,21.17985631651856
37.0,154.75,21.172172273031183
37.0,155.0,21.164485262160927
37.0,155.25,21.156795205541357
37.0,155.5,21.149102023889498
37.0,155.75,21.1414056307488
37.0,156.0,21.13370593466101
37.0,156.25,21.12600284425846
37.0,156.5,21.118296270190207
37.0,156.75,21.11058612438782
37.0,157.0,21.102872320867945
37.0,157.25,21.095154777250503
37.0,157.5,21.087433411877143
37.0,157.75,21.079708130183477
37.0,158.0,21.071978824575393
37.0,158.25,21.06424538347006
37.0,158.5,21.05650769784684
37.0,158.75,21.048765666010684
37.0,159.0,21.041019194558235
37.0,159.25,21.03326819715155
37.0,159.5,21.025512591359654
37.0,159.75,21.017752289566438
37.0,160.0,21.009987196056024
37.0,160.25,21.00221721178895
37.0,160.5,20.994442238862405
37.0,160.75,20.986662181819867
37.0,161.0,20.978876948083755
37.0,161.25,20.97108644877483
37.0,161.5,20.963290597403624
37.0,161.75,20.955489300602725
37.0,162.0,20.947682449645857
37.0,162.25,20.939869925251035
37.0,162.5,20.932051606814525
37.0,162.75,20.92422738019468
37.0,163.0,20.916397141898383
37.0,163.25,20.9085607981836
37.0,163.5,20.900718262139716
37.0,163.75,20.892869449151796
37.0,164.0,20.885014272322735
37.0,164.25,20.87715264319487
37.0,164.5,20.869284473992153
37.0,164.75,20.8614096748262
37.0,165.0,20.8535281455673
37.0,165.25,20.84563977758752
37.0,165.5,20.837744460529613
37.0,165.75,20.829842086591007
37.0,166.0,20.82193255266817
37.0,166.25,20.814015760877442
37.0,166.5,20.806091618215092
37.0,166.75,20.79816003461834
37.0,167.0,20.79022091786898
37.0,167.25,20.78227417354623
37.0,167.5,20.774319707976545
37.0,167.75,20.766357427232542
37.0,168.0,20.758387227096215
37.0,168.25,20.75040899303413
37.0,168.5,20.742422607259357
37.0,168.75,20.73442795046608
37.0,169.0,20.72642489254686
37.0,169.25,20.71841329364389
37.0,169.5,20.71039301274375
37.0,169.75,20.702363918661867
37.0,170.0,20.694325904726355
37.0,170.25,20.686278887305594
37.0,170.5,20.67822279590732
37.0,170.75,20.670157559837662
37.0,171.0,20.66208308088349
37.0,171.25,20.653999232632614
37.0,171.5,20.645905876799883
37.0,171.75,20.637802878231867
37.0,172.0,20.629690117828694
37.0,172.25,20.621567492637332
37.0,172.5,20.61343490969364
37.0,172.75,20.605292280477265
37.0,173.0,20.59713951627263
37.0,173.25,20.588976527610836
37.0,173.5,20.580803224282228
37.0,173.75,20.572619507502676
37.0,174.0,20.564425256607915
37.0,174.25,20.556220332807868
37.0,174.5,20.548004592491402
37.0,174.75,20.53977790301987
37.0,175.0,20.531540151688905
37.0,175.25,20.52329124193662
37.0,175.5,20.51503108607455
37.0,175.75,20.506759599388882
37.0,176.0,20.498476697133366
37.0,176.25,20.490182294390227
37.0,176.5,20.481876304795755
37.0,176.75,20.473558632980538
37.0,177.0,20.465229171979153
37.0,177.25,20.456887808076555
37.0,177.5,20.448534425417765
37.0,177.75,20.44016890721739
37.0,178.0,20.431791136835088
37.0,178.25,20.423400999041885
37.0,178.5,20.41499838027676
37.0,178.75,20.406583167999845
37.0,179.0,20.39815525081258
37.0,179.25,20.38971452003977
37.0,179.5,20.38126087511866
37.0,179.75,20.37279422786923
37.0,180.0,20.36431449959366
37.0,180.25,20.355821614654936
37.0,180.5,20.347315490820087
37.0,180.75,20.338796034996978
37.0,181.0,20.33026314666203
37.0,181.25,20.321716727007647
37.0,181.5,20.31315669965114
37.0,181.75,20.304583011478158
37.0,182.0,20.295995620274255
37.0,182.25,20.28739448072061
37.0,182.5,20.278779525504998
37.0,182.75,20.270150665292732
37.0,183.0,20.261507800487884
37.0,183.25,20.25285083507164
37.0,183.5,20.244179685564173
37.0,183.75,20.235494278725337
37.0,184.0,20.22679454440117
37.0,184.25,20.218080405870896
37.0,184.5,20.209351776625333
37.0,184.75,20.200608564647688
37.0,185.0,20.19185068456375
37.0,185.25,20.183078076923955
37.0,185.5,20.17429070592316
37.0,185.75,20.165488544470215
37.0,186.0,20.15667155680338
37.0,186.25,20.147839685429126
37.0,186.5,20.13899285400455
37.0,186.75,20.130130978964726
37.0,187.0,20.121253987372747
37.0,187.25,20.112361820982468
37.0,187.5,20.10345442965327
37.0,187.75,20.094531767581227
37.0,188.0,20.08559379369652
37.0,188.25,20.076640469487895
37.0,188.5,20.067671758215674
37.0,188.75,20.05868763389869
37.0,189.0,20.0496880853269
37.0,189.25,20.040673109336307
37.0,189.5,20.031642699702367
37.0,189.75,20.02259682932583
37.0,190.0,20.013535448501983
37.0,190.25,20.004458495863506
37.0,190.5,19.99536591530065
37.0,190.75,19.98625766681006
37.0,191.0,19.977133722107517
37.0,191.25,19.967994052631703
37.0,191.5,19.95883861049999
37.0,191.75,19.949667326567933
37.0,192.0,19.940480126060326
37.0,192.25,19.931276963989085
37.0,192.5,19.922057839596217
37.0,192.75,19.912822780018196
37.0,193.0,19.90357182091328
37.0,193.25,19.894304994379574
37.0,193.5,19.885022324454162
37.0,193.75,19.875723824488325
37.0,194.0,19.86640948845078
37.0,194.25,19.857079286946476
37.0,194.5,19.847733177017346
37.0,194.75,19.83837113029952
37.0,195.0,19.828993161142584
37.0,195.25,19.81959931844905
37.0,195.5,19.810189663968437
37.0,195.75,19.800764258623175
37.0,196.0,19.79132315640368
37.0,196.25,19.78186640449748
37.0,196.5,19.77239405372163
37.0,196.75,19.762906169165422
37.0,197.0,19.753402825162663
37.0,197.25,19.74388409969873
37.0,197.5,19.7343500855146
37.0,197.75,19.724800888490755
37.0,198.0,19.715236613249036
37.0,198.25,19.7056573408421
37.0,198.5,19.696063108022866
37.0,198.75,19.686453914162353
37.0,199.0,19.676829745512258
37.0,199.25,19.66719060152391
37.0,199.5,19.657536497084944
37.0,199.75,19.647867459616464
37.0,200.0,19.63818354975573
37.0,200.25,19.628484859083482
37.0,200.5,19.618771489707694
37.0,200.75,19.60904353615926
37.0,201.0,19.599301075663362
37.0,201.25,19.589544171477165
37.0,201.5,19.57977289385681
37.0,201.75,19.569987347064625
37.0,202.0,19.560187663250044
37.0,202.25,19.550373982750287
37.0,202.5,19.540546443600636
37.0,202.75,19.53070517644453
37.0,203.0,19.520850302573663
37.0,203.25,19.51098193817035
37.0,203.5,19.501100199581053
37.0,203.75,19.491205200799705
37.0,204.0,19.48129704674278
37.0,204.25,19.471375824814032
37.0,204.5,19.46144160455654
37.0,204.75,19.451494444197554
37.0,205.0,19.441534402646734
37.0,205.25,19.43156154227439
37.0,205.5,19.421575929270098
37.0,205.75,19.41157765032223
37.0,206.0,19.40156681714182
37.0,206.25,19.391543553460995
37.0,206.5,19.381507983180803
37.0,206.75,19.371460224617348
37.0,207.0,19.361400387976524
37.0,207.25,19.351328577292865
37.0,207.5,19.341244897046494
37.0,207.75,19.33114945135874
37.0,208.0,19.321042344719242
37.0,208.25,19.31092370006187
37.0,208.5,19.30079365811308
37.0,208.75,19.29065236256453
37.0,209.0,19.280499946809368
37.0,209.25,19.270336527331388
37.0,209.5,19.260162204577526
37.0,209.75,19.249977065758983
37.0,210.0,19.23978118680205
37.0,210.25,19.22957463497066
37.0,210.5,19.21935747646695
37.0,210.75,19.209129786985343
37.0,211.0,19.1988916500456
37.0,211.25,19.18864315350997
37.0,211.5,19.178384395923477
37.0,211.75,19.168115483505453
37.0,212.0,19.157836519809063
37.0,212.25,19.14754759324193
37.0,212.5,19.13724877382176
37.0,212.75,19.126940120977753
37.0,213.0,19.116621701982982
37.0,213.25,19.10629359813929
37.0,213.5,19.09595589582502
37.0,213.75,19.08560867237652
37.0,214.0,19.07525198749209
37.0,214.25,19.064885886449336
37.0,214.5,19.0545104107395
37.0,214.75,19.04412560611151
37.0,215.0,19.033731522108447
37.0,215.25,19.023328211876184
37.0,215.5,19.01291573485128
37.0,215.75,19.002494153961717
37.0,216.0,18.992063531014324
37.0,216.25,18.981623924572208
37.0,216.5,18.971175388805314
37.0,216.75,18.960717971228814
37.0,217.0,18.95025170641905
37.0,217.25,18.93977661562198
37.0,217.5,18.929292710739198
37.0,217.75,18.918799996387452
37.0,218.0,18.908298471464388
37.0,218.25,18.89778813180984
37.0,218.5,18.88726897498767
37.0,218.75,18.87674100240241
37.0,219.0,18.866204216266144
37.0,219.25,18.85565861122071
37.0,219.5,18.84510416812686
37.0,219.75,18.834540856568616
37.0,220.0,18.82396863808747
37.0,220.25,18.81338746706535
37.0,220.5,18.80279729299856
37.0,220.75,18.79219806092087
37.0,221.0,18.781589709480567
37.0,221.25,18.77097217247017
37.0,221.5,18.760345379468994
37.0,221.75,18.749709253050685
37.0,222.0,18.739063710822155
37.0,222.25,18.728408669949097
37.0,222.5,18.717744050292854
37.0,222.75,18.70706977523462
37.0,223.0,18.69638576913316
37.0,223.25,18.685691949241114
37.0,223.5,18.674988225719545
37.0,223.75,18.664274502509407
37.0,224.0,18.65355066436587
