时间（s）,贴身侧温度（℃）,功能层均温（℃）,外表面温度（℃）,固化进度
138.75,21.661749356706625,20.524003524411224,17.535467766054637,0.4595272840035631
139,21.654081393017464,20.516157048054424,17.528071602633837,0.4608276245356436
139.25,21.64641561103488,20.508311346788012,17.520676687996897,0.4621272480658021
139.5,21.63875193759076,20.500466263600813,17.51328295118945,0.4634264051882828
139.75,21.63109029806165,20.492621808359058,17.505890305057747,0.4647254599640154
140,21.623430614125734,20.48477798898899,17.498498665332455,0.4660244107592665
140.25,21.61577280655356,20.476934658540966,17.491107960198597,0.4673226308990819
140.5,21.60811679791816,20.469091693404486,17.483718118310104,0.4686202336907971
140.75,21.60046251139663,20.461249102363396,17.47632906183063,0.46991777604526747
141,21.592809869410974,20.45340689260858,17.46894071730932,0.47121525650929164
141.25,21.585158795366272,20.445564996675763,17.4615530225632,0.4725123804606938
141.5,21.57750921559311,20.437723131953437,17.454165919090702,0.47380830153653125
141.75,21.569861058138724,20.429881308333552,17.446779332458807,0.4751042174546451
142,21.562214248662634,20.422039533459138,17.439393183118543,0.4764001265803299
142.25,21.554568711297954,20.414197813874043,17.432007402830173,0.4776960276505288
142.5,21.546924371963396,20.40635577232706,17.424621933060518,0.47899042149180043
142.75,21.539281158719252,20.398513360896963,17.417236696514642,0.48028463952475536
143,21.53163899635162,20.39067058839512,17.409851601961506,0.4815789186016864
143.25,21.5239978057897,20.382827462083597,17.40246656720791,0.4828732572684016
143.5,21.51635750801842,20.374983786634424,17.395081522788722,0.48416632484046346
143.75,21.5087180262324,20.367139466275873,17.387696395866787,0.48545879648337714
144,21.501079283648487,20.359294509097616,17.38031110647235,0.4867513743937018
144.25,21.49344120240718,20.351448921678124,17.3729255805275,0.488044057238431
144.5,21.485803705704438,20.34360252323115,17.365539754806008,0.48933609377130005
144.75,21.478166719262454,20.335754934111137,17.358153560819943,0.49062670681872145
145,21.470530167932314,20.327906165615136,17.35076690165887,0.49191751571372494
145.25,21.46289397010964,20.320056226025052,17.343379672258063,0.49320851859811665
145.5,21.455258039813266,20.31220510365569,17.335991782322605,0.4944990710024732
145.75,21.447622291726262,20.304352748227576,17.32860315573385,0.4957878634807463
146,21.439986643644485,20.2964991656789,17.32121372453621,0.4970768583704414
146.25,21.432351016816824,20.288644360931055,17.313823429022154,0.4983660546967818
146.5,21.424715336470275,20.280788338206246,17.30643221912952,0.499655451651901
146.75,21.417079532398898,20.272930406331554,17.299040049012696,0.5009427603241705
147,21.409443536274676,20.265070393639938,17.291646827067023,0.5022297759467573
147.25,21.40180727005594,20.257208310734743,17.28425242153768,0.5035171323770694
147.5,21.394170643234812,20.24934416543913,17.27685670611909,0.5048048278784324
147.75,21.38653355993318,20.241477969811136,17.269459574921928,0.5060901596040941
148,21.378895925314506,20.233609729944288,17.26206094138941,0.5073753358658736
148.25,21.371257648895078,20.225739449984285,17.254660734667567,0.5086608461146747
148.5,21.363618645803708,20.217867133340185,17.247258896138266,0.5099466896731744
148.75,21.35597883700251,20.209992574971583,17.23985537563879,0.5112310332968404
149,21.348338148238234,20.202115591554726,17.232450114286276,0.5125140839485898
149.25,21.340696505727717,20.194236188824355,17.22504303598039,0.5137975297284972
149.5,21.33305383297341,20.1863543706388,17.217634063893314,0.5150813697021659
149.75,21.32541005264928,20.178470058927665,17.210223131721314,0.5163648113406479
150,21.31776508929018,20.17058294975352,17.202810176284974,0.5176456571219227
150.25,21.310118868406324,20.162693049083668,17.195395116977757,0.5189269573650234
150.5,21.302471312366936,20.15480036049988,17.187977867407294,0.5202087111005316
150.75,21.294822341451926,20.146904886427983,17.18055835284956,0.5214909177465705
151,21.287171877422423,20.139005784054977,17.1731365060066,0.5227698965328534
151.25,21.279519842151533,20.13110296919981,17.165712206851875,0.5240490477098123
151.5,21.27186614504316,20.12319644896402,17.158285297628527,0.525328800072286
151.75,21.264210682117046,20.11528622774049,17.150855634174697,0.5266091524702774
152,21.256553344773383,20.10737245434404,17.143423096973862,0.5278858115408954
152.25,21.24889402690494,20.099455132230656,17.135987598240625,0.5291629345381414
152.5,21.24123263025048,20.091534260894928,17.128549074053115,0.5304406302265403
152.75,21.23356906552124,20.08360983930957,17.121107472143176,0.5317188986876543
153,21.22590325105846,20.07568132431835,17.113662744789536,0.5329945395155257
153.25,21.21823510936689,20.06774846515889,17.106214808760647,0.53426933371131
153.5,21.210564556870434,20.059811265699153,17.09876354188549,0.5355448263885203
153.75,21.202891499609606,20.051869726901824,17.091308821512676,0.5368210169252422
154,21.195215838537305,20.043923854757644,17.083850542755506,0.5380946689052597
154.25,21.187537475504712,20.035973651092196,17.076388618538818,0.5393672415001598
154.5,21.17985631651856,20.02801911321889,17.068922976545995,0.5406405078106344
154.75,21.172172273031183,20.020060237735063,17.061453555901355,0.5419144682669551
155,21.164485262160927,20.012096793327665,17.053980303313537,0.5431871607859213
155.25,21.156795205541357,20.004128389144075,17.04650315354567,0.5444572311582202
155.5,21.149102023889498,19.996155025814637,17.03902200791568,0.545728092553156
155.75,21.1414056307488,19.988176700894716,17.031536757527785,0.5469997448701968
156,21.13370593466101,19.980193371868374,17.024047306875506,0.5482709050517006
156.25,21.12600284425846,19.972204903566222,17.016553571762994,0.5495385271886984
156.5,21.118296270190207,19.96421129186944,17.00905546899757,0.5508069653586775
156.75,21.11058612438782,19.956212531151756,17.001552919849043,0.5520762202156391
157,21.102872320867945,19.948208614881988,16.994045856094928,0.5533462926529429
157.25,21.095154777250503,19.94019864515263,16.986534213988033,0.5546114183706851
157.5,21.087433411877143,19.932182599258333,16.979017871819767,0.5558773435343158
157.75,21.079708130183477,19.92416047354039,16.971496671359926,0.5571442289974677
158,21.071978824575393,19.91613226192848,16.96397047017783,0.5584120753383762
158.25,21.06424538347006,19.908098087751043,16.95643914900352,0.5596747818684018
158.5,21.05650769784684,19.900057943437943,16.948902617413665,0.5609383016684855
158.75,21.048765666010684,19.89201181845845,16.941360806605378,0.5622027603808268
159,21.041019194558235,19.883959701723622,16.93381365842857,0.563468159661575
159.25,21.03326819715155,19.875901085099514,16.92626111895099,0.5647296078995537
159.5,21.025512591359654,19.867835795714097,16.918703102209275,0.5659904432868925
159.75,21.017752289566438,19.8597638249097,16.91113949161019,0.567252322681408
160,21.009987196056024,19.85168516163992,16.903570173146182,0.5685152474376626
160.25,21.00221721178895,19.84359973135055,16.89599504762952,0.569774735045825
160.5,20.994442238862405,19.83550748880887,16.888414025442753,0.5710329438033963
160.75,20.986662181819867,19.827408420311617,16.8808270234153,0.5722922126449967
161,20.978876948083755,19.81930251112037,16.873233967061246,0.5735525437030493
161.25,20.97108644877483,19.81118928056454,16.86563478832487,0.574810697219274
161.5,20.963290597403624,19.80306816065989,16.858029389308737,0.5760661182106758
161.75,20.955489300602725,19.794939141810374,16.850417615854948,0.5773227599801697
162,20.947682449645857,19.786802209743794,16.842799299190162,0.5785806240126237
162.25,20.939869925251035,19.778657494688296,16.835174291965703,0.5798358969096498
162.5,20.932051606814525,19.770505115322393,16.82754248073088,0.5810887865457443
162.75,20.92422738019468,19.762345050480707,16.81990378743523,0.5823428551715283
163,20.916397141898383,19.754177279046548,16.81225815322584,0.583598106042841
163.25,20.9085607981836,19.74600165539931,16.804605525542716,0.5848518894045067
163.5,20.900718262139716,19.73781792296271,16.796945845456577,0.5861018496037602
163.75,20.892869449151796,19.729626061906327,16.78927903417486,0.5873530495450088
164,20.885014272322735,19.72142605032829,16.781605006310166,0.5886054922600978
164.25,20.87715264319487,19.71321772916842,16.773923683452896,0.5898576546957119
164.5,20.869284473992153,19.705000500968787,16.766234982474593,0.5911046536199798
164.75,20.8614096748262,19.696774346835777,16.758538778883782,0.5923530056917167
165,20.8535281455673,19.68853924362547,16.750834929206057,0.5936027137812191
165.25,20.84563977758752,19.68029517131095,16.743123304758903,0.5948523232155013
165.5,20.837744460529613,19.67204212691191,16.735403794775124,0.596096523832267
165.75,20.829842086591007,19.66378008260146,16.727676305003087,0.5973420785217118
166,20.82193255266817,19.655509009745643,16.719940753830237,0.5985889914834895
166.25,20.814015760877442,19.647228859556602,16.712197068367793,0.599836763661365
166.5,20.806091618215092,19.638939293917588,16.70444517932014,0.6010779201196472
166.75,20.79816003461834,19.630640284790697,16.69668499928027,0.6023204879106077
167,20.79022091786898,19.622331801685167,16.688916431252537,0.6035644712369991
167.25,20.78227417354623,19.614013812873086,16.68113938614245,0.6048098746692468
167.5,20.774319707976545,19.605685589390756,16.673353780068094,0.606048307712676
167.75,20.766357427232542,19.597347074501155,16.665559485576193,0.6072879153302129
168,20.758387227096215,19.58899823591475,16.6577563471356,0.6085290547638538
168.25,20.75040899303413,19.580639038869307,16.649944221707397,0.6097717289224528
168.5,20.742422607259357,19.57226869705508,16.64212297982512,0.6110069565478521
168.75,20.73442795046608,19.56388717883017,16.63429245226252,0.612243831021173
169,20.72642489254686,19.555494446987467,16.62645244737409,0.6134823570180973
169.25,20.71841329364389,19.547090641729493,16.6186027937634,0.614720886836354
169.5,20.71039301274375,19.538676546944387,16.610743360459416,0.6159534782053148
169.75,20.702363918661867,19.53025211250182,16.602874104216777,0.6171875787456502
170,20.694325904726355,19.521817292278744,16.594995032647144,0.6184231958100072
170.25,20.686278887305594,19.51337200628281,16.587106151067623,0.6196601317285645
170.5,20.67822279590732,19.504914634319466,16.57920744336157,0.6208893575319056
170.75,20.670157559837662,19.496445143550474,16.571298767586544,0.6221203424684494
171,20.66208308088349,19.48796349144808,16.56337990267356,0.6233530913178569
171.25,20.653999232632614,19.47946979884105,16.55545064380431,0.6245852926400578
171.5,20.645905876799883,19.470964546992672,16.547510828693444,0.6258118979386207
171.75,20.637802878231867,19.462447681139633,16.53956036518077,0.6270401725496176
172,20.629690117828694,19.453919148489536,16.531599202216167,0.6282701243816203
172.25,20.621567492637332,19.445378843929813,16.52362729323815,0.6294993572087223
172.5,20.61343490969364,19.436826551856807,16.51564458542243,0.6307228279445168
172.75,20.605292280477265,19.428262219969934,16.507651009794348,0.6319480159928021
173,20.59713951627263,19.41968579434752,16.499646489119293,0.6331749288460787
173.25,20.588976527610836,19.41109688847029,16.49163094626056,0.6344008656435923
173.5,20.580803224282228,19.402494547179597,16.48360427777448,0.6356212463275692
173.75,20.572619507502676,19.393878720609912,16.475566301606705,0.6368435360229275
174,20.564425256607915,19.385249351890657,16.467516800348875,0.6380677418149615
174.25,20.556220332807868,19.376606856765868,16.4594555786769,0.6392882462938065
174.5,20.548004592491402,19.36795156006014,16.451382502559266,0.6405060073384327
174.75,20.53977790301987,19.359283394483004,16.443297508726346,0.6417255721754075
175,20.531540151688905,19.350602294588302,16.43520056203183,0.642946950286218
175.25,20.52329124193662,19.341908102192505,16.427091625360003,0.6441636968877371
175.5,20.51503108607455,19.33320069557074,16.41897064905347,0.6453783466832034
175.75,20.506759599388882,19.324480009143965,16.410837570248432,0.6465948426141288
176,20.498476697133366,19.31574597625768,16.40269232087017,0.6478131938424414
176.25,20.490182294390227,19.306998058553457,16.39453482968174,0.6490258750689847
176.5,20.481876304795755,19.298236003294523,16.38636499024266,0.6502374915690211
176.75,20.473558632980538,19.289459743020473,16.378182660953847,0.6514510661687033
177,20.465229171979153,19.280669207272847,16.36998769754609,0.652666608211528
177.25,20.456887808076555,19.271864229639394,16.361779966621917,0.6538740316346711
177.5,20.448534425417765,19.263044731682484,16.353559339151712,0.6550828806588206
177.75,20.44016890721739,19.25421063828062,16.34532569045301,0.6562937232006794
178,20.431791136835088,19.24536185867112,16.337078903741293,0.6575043914480891
178.25,20.423400999041885,19.236498258991187,16.3288188682098,0.6587084828120485
178.5,20.41499838027676,19.227619760464968,16.3205454741768,0.6599145908065048
178.75,20.406583167999845,19.218726282771605,16.31225861412425,0.661122726150826
179,20.39815525081258,19.209818008348158,16.30395818657607,0.6623276838751669
179.25,20.38971452003977,19.200895139682462,16.295644115047086,0.6635289987639145
179.5,20.38126087511866,19.19195759094394,16.287316359393067,0.6647322817420662
179.75,20.37279422786923,19.18300527766231,16.278974891975057,0.6659375443842042
180,20.36431449959366,19.174037723004254,16.270619676241264,0.6671374773536919
180.25,20.355821614654936,19.165054650067816,16.2622506375604,0.6683358352717345
180.5,20.347315490820087,19.15605597486707,16.25386766199135,0.6695362669381377
180.75,20.338796034996978,19.14704161064939,16.2454706257539,0.6707387835761622
181,20.33026314666203,19.13801267314563,16.237059417371146,0.6719324677573688
181.25,20.321716727007647,19.128969071949022,16.228634019576877,0.6731280133380639
181.5,20.31315669965114,19.119910715544986,16.220194476338595,0.6743255005772519
181.75,20.304583011478158,19.11083737920212,16.211740820495844,0.6755236161647915
182,20.295995620274255,19.101747982234443,16.20327304927722,0.6767140003903751
182.25,20.28739448072061,19.092642442343436,16.19479106392761,0.677906491703551
182.5,20.278779525504998,19.083520670370095,16.186294707571427,0.6791011009015445
182.75,20.270150665292732,19.074382936628627,16.177783828848067,0.6802924134909087
183,20.261507800487884,19.06522952244533,16.16925831698924,0.6814801770794755
183.25,20.25285083507164,19.056060329695246,16.160718115900387,0.6826699788821537
183.5,20.244179685564173,19.046875262098634,16.152163190620726,0.6838618316536647
183.75,20.235494278725337,19.0376738435467,16.143593498692493,0.6850471695365635
184,20.22679454440117,19.0284558694695,16.135008960973824,0.6862321324116565
184.25,20.218080405870896,19.019221243466596,16.126409465466093,0.6874192273148387
184.5,20.209351776625333,19.00997014166321,16.117794895270812,0.688606341120677
184.75,20.200608564647688,19.000703620658065,16.109165163816826,0.6897866475464303
185,20.19185068456375,18.991421570764484,16.10052028559014,0.6909689212387106
185.25,20.183078076923955,18.98212388940923,16.09186032832772,0.6921531761919473
185.5,20.17429070592316,18.972810044124103,16.08318534046244,0.6933348374348033
185.75,20.165488544470215,18.96347933063038,16.07449531087101,0.6945121244458834
186,20.15667155680338,18.954131653945975,16.065790143367003,0.6956915436292586
186.25,20.147839685429126,18.944766914002376,16.05706970213956,0.6968731069908382
186.5,20.13899285400455,18.935385810379305,16.04833385799576,0.6980471889587802
186.75,20.130130978964726,18.925988344329014,16.03958254814994,0.699221995376674
187,20.121253987372747,18.91657440936407,16.030815761164558,0.7003988508801856
187.25,20.112361820982468,18.907143979501498,16.022033486335594,0.7015749649192619
187.5,20.10345442965327,18.89769717864268,16.01323570707101,0.7027450473198728
187.75,20.094531767581227,18.888233899977386,16.004422414540304,0.7039171609549943
188,20.08559379369652,18.87875403806975,15.99559359916825,0.7050913190771265
188.25,20.076640469487895,18.869258120705663,15.986749242428926,0.7062604188160819
188.5,20.067671758215674,18.859746367312034,15.977889361194816,0.707427808002263
188.75,20.05868763389869,18.850218669139416,15.969014014964365,0.7085971440050526
189,20.0496880853269,18.840674920811058,15.960123262326809,0.7097684401936626
189.25,20.040673109336307,18.831114109062405,15.951217133820608,0.7109312548855781
189.5,20.031642699702367,18.821536115802388,15.94229557188615,0.7120959029973696
189.75,20.02259682932583,18.81194083849553,15.933358457541672,0.7132626440710658
190,20.013535448501983,18.8023287458382,15.924405670387234,0.7144259179189352
190.25,20.004458495863506,18.792700244256924,15.915437140011614,0.7155862250607362
190.5,19.99536591530065,18.78305522142258,15.906452864989646,0.7167485129774134
190.75,19.98625766681006,18.773393568795345,15.897452864570331,0.7179127952285828
191,19.977133722107517,18.763714236597064,15.888437138203694,0.7190687013985866
191.25,19.967994052631703,18.75401711934012,15.879405599916305,0.7202266629293089
191.5,19.95883861049999,18.744302110390297,15.870358105593498,0.7213867521288964
191.75,19.949667326567933,18.734570842513236,15.861294520357108,0.722541889862456
192,19.940480126060326,18.724823979842434,15.852214847957784,0.7236957608739343
192.25,19.931276963989085,18.715061401456968,15.843119236192448,0.7248514810155212
192.5,19.922057839596217,18.705282982951424,15.834007853512416,0.7260080929009934
192.75,19.912822780018196,18.69548850123706,15.824880828681623,0.7271574312044574
193,19.90357182091328,18.685677850574052,15.815738241831033,0.7283086575495471
193.25,19.894304994379574,18.675850925689264,15.806580135283184,0.729461784364738
193.5,19.885022324454162,18.666007102619712,15.797406523908759,0.7306106073736947
193.75,19.875723824488325,18.65614596897958,15.788217364841243,0.731757681213461
194,19.86640948845078,18.64626742373951,15.779012554204968,0.7329067722067787
194.25,19.857079286946476,18.636372337247252,15.769791973678013,0.7340542118853353
194.5,19.847733177017346,18.62646220887529,15.760555588155338,0.7351975029665494
194.75,19.83837113029952,18.616536914563625,15.751303529389888,0.7363425320059842
195,19.828993161142584,18.606596343256346,15.74203599566857,0.7374893133376916
195.25,19.81959931844905,18.596640354078716,15.732753150573346,0.7386297902723553
