temperature_C,dsc_raw_mW_per_mg,exothermic_power_raw_W_per_kg,endpoint_linear_baseline_W_per_kg,exothermic_power_corrected_W_per_kg,solidification_progress_raw,solidification_progress_corrected,normalized_capacity_weight_per_C
16.401,-1.71926,1719.26,403.18424465240645,1316.0757553475935,0.9165232577447243,0.9433523180881637,0.06455953824278039
16.434,-1.74666,1746.66,403.1747593582888,1343.4852406417112,0.914253749517002,0.9411996680749127,0.06590409892393446
16.47,-1.77368,1773.6799999999998,403.1644117647059,1370.515588235294,0.9117390482614376,0.9388032531932956,0.06723006116592005
16.502,-1.80028,1800.2800000000002,403.15521390374334,1397.124786096257,0.9094697114740597,0.9366310063892599,0.06853536408631374
16.536,-1.82644,1826.44,403.1454411764706,1423.2945588235293,0.9070229466297093,0.9342789803095103,0.06981911119306368
16.569,-1.85213,1852.13,403.13595588235296,1448.9940441176473,0.9046141937210296,0.9319541484637638,0.0710797885491534
16.603,-1.87732,1877.3200000000002,403.12618315508024,1474.1938168449199,0.902098122133269,0.9295164208622371,0.07231595271712414
16.638,-1.90199,1901.99,403.1161229946524,1498.8738770053476,0.8994734210621298,0.9269641757940918,0.07352662260545471
16.67,-1.92611,1926.11,403.10692513368986,1523.00307486631,0.8970427144633538,0.924592385509569,0.07471027017721701
16.705,-1.94967,1949.67,403.09686497326203,1546.573135026738,0.8943510157359409,0.921957292215461,0.07586648948611988
16.738,-1.97264,1972.6399999999999,403.0873796791444,1569.5526203208556,0.8917826602007072,0.9194350984554172,0.07699373839532356
16.773,-1.99503,1995.03,403.0773195187166,1591.9526804812833,0.8890271445909987,0.9167210881661199,0.07809256385023498
16.806,-2.0168,2016.8,403.0678342245989,1613.732165775401,0.8864001707447405,0.9141264052326662,0.07916094726816543
16.841,-2.03796,2037.96,403.05777406417116,1634.902225935829,0.8835841718149854,0.9113375985325691,0.08019943559452179
16.873,-2.05849,2058.49,403.0485762032086,1655.4414237967912,0.880983072562992,0.9087550959272451,0.08120697723822498
16.909,-2.07839,2078.3900000000003,403.03822860962566,1675.3517713903748,0.8780279553498479,0.9058140642607814,0.08218367089865604
16.94,-2.09767,2097.67,403.0293181818182,1694.6406818181817,0.8754591706184746,0.9032517042184054,0.08312988022237135
16.975,-2.11631,2116.31,403.0192580213904,1713.2907419786095,0.8725325946509674,0.9003261481717154,0.0840447510170539
17.01,-2.13432,2134.32,403.00919786096256,1731.3108021390376,0.8695805655467085,0.8973691124739126,0.08492871742881802
17.045,-2.15172,2151.7200000000003,402.9991377005348,1748.7208622994654,0.8666039444759454,0.8943816616092976,0.08578276054918489
17.077,-2.1685,2168.5,402.98993983957223,1765.5100601604277,0.8638607592764562,0.8916234358799879,0.0866063475326592
17.112,-2.18469,2184.6899999999996,402.9798796791444,1781.7101203208551,0.8608375030588209,0.8885783066923868,0.0874010346159922
17.145,-2.20029,2200.29,402.97039438502674,1797.3196056149732,0.8579661880289307,0.8856814382247791,0.0881667512996261
17.179,-2.21532,2215.32,402.960621657754,1812.3593783422461,0.8549871989384132,0.8826712265961136,0.08890452097481677
17.213,-2.22979,2229.79,402.9508489304813,1826.8391510695187,0.8519883076875665,0.8796363977980555,0.08961482008741324
17.249,-2.24374,2243.74,402.9405013368984,1840.7994986631013,0.8487927096749298,0.8763979375341172,0.0902996390202811
17.282,-2.25718,2257.18,402.93101604278075,1854.248983957219,0.8458454763365033,0.8734071634262587,0.09095939781962314
17.315,-2.27014,2270.14,402.9215307486631,1867.2184692513367,0.8428809560967022,0.8703950057902642,0.0915956104224559
17.349,-2.28265,2282.6499999999996,402.91175802139037,1879.7382419786093,0.8398094185874075,0.8672703144494609,0.09220976256597273
17.382,-2.29473,2294.73,402.90227272727276,1891.8277272727273,0.8368121187156818,0.8642176070492813,0.0928028071418718
17.416,-2.30643,2306.4300000000003,402.89250000000004,1903.5375000000004,0.8337079484099427,0.8610525465015304,0.09337722507877921
17.451,-2.31776,2317.7599999999998,402.8824398395722,1914.8775601604275,0.8304964848236924,0.8577746086915088,0.09393350692245558
17.486,-2.32876,2328.7599999999998,402.8723796791444,1925.8876203208554,0.8272695132280652,0.8544774843071352,0.09447360075603185
17.52,-2.33948,2339.48,402.86260695187167,1936.6173930481284,0.8241200874336863,0.85125643402574,0.09499994520839947
17.554,-2.34994,2349.94,402.85283422459895,1947.087165775401,0.8209563725628408,0.8480177048541905,0.09551353547099119
17.588,-2.36018,2360.1800000000003,402.84306149732623,1957.336938502674,0.8177786924472895,0.8447616970778269,0.0960163337268495
17.622,-2.37025,2370.25,402.8332887700535,1967.4167112299465,0.8145873102003391,0.8414887359284894,0.09651079270477743
17.657,-2.38018,2380.1800000000003,402.8232286096257,1977.3567713903747,0.8112881739269527,0.8381023250886713,0.0969983981419684
17.691,-2.39002,2390.02,402.81345588235297,1987.206544117647,0.8080699608692808,0.8347961655526122,0.09748157456740227
17.725,-2.39979,2399.79,402.80368315508025,1996.9863168449197,0.8048385179348613,0.8314736363930334,0.09796131717251189
17.76,-2.40955,2409.5499999999997,402.7936229946524,2006.7563770053473,0.8014984691297955,0.8280366031342085,0.09844058333177245
17.795,-2.41934,2419.34,402.7835628342246,2016.5564371657756,0.7981448430034884,0.8245827698061569,0.09892132112831489
17.829,-2.42919,2429.19,402.7737901069519,2026.4162098930483,0.7948737846502719,0.8212112225492839,0.09940498809950939
17.862,-2.43914,2439.14,402.7643048128342,2036.3756951871655,0.7916859687196486,0.8179227967295737,0.0998935464283984
17.897,-2.44923,2449.23,402.75424465240644,2046.4757553475936,0.7882910342011452,0.8144178521566159,0.10038900059775914
17.93,-2.4595,2459.5,402.7447593582888,2056.755240641711,0.7850767640729637,0.8110966949163014,0.1008932563909877
17.965,-2.46999,2469.9900000000002,402.734699197861,2067.255300802139,0.7816532720378646,0.8075564171126206,0.10140833239077283
17.999,-2.48074,2480.74,402.72492647058823,2078.0150735294114,0.7783132645054744,0.8040995609378104,0.10193614848042225
18.032,-2.49178,2491.7799999999997,402.7154411764706,2089.0645588235293,0.77505722424704,0.8007267245789792,0.10247817629721782
18.066,-2.50313,2503.13,402.7056684491979,2100.424331550802,0.7716874106996217,0.797232993354674,0.10303542513250387
18.102,-2.51485,2514.85,402.69532085561497,2112.1546791443848,0.7681028931227971,0.7935133603597951,0.10361085236075564
18.136,-2.52695,2526.95,402.68554812834225,2124.2644518716575,0.764701445260198,0.7899804927034849,0.10420489212808746
18.17,-2.53946,2539.46,402.67577540106953,2136.7842245989305,0.7612833942733378,0.7864270857846899,0.10481904427160432
18.205,-2.5524,2552.4,402.6657152406417,2149.734284759358,0.7577471375502615,0.7827473021902394,0.10545430398273899
18.238,-2.56582,2565.82,402.6562299465241,2163.163770053476,0.7543956919308322,0.7792564403266298,0.10611308169055983
18.271,-2.57971,2579.71,402.6467446524064,2177.0632553475934,0.7510263635357765,0.7757434583804248,0.10679491504912932
18.306,-2.59411,2594.11,402.6366844919786,2191.4733155080216,0.747433186237306,0.771993265964342,0.10750179444131311
18.341,-2.60902,2609.02,402.62662433155083,2206.393375668449,0.7438196533743557,0.7682178949574415,0.108233691667288
18.377,-2.62447,2624.4700000000003,402.61627673796795,2221.8537232620324,0.7400811895117787,0.7643078308430742,0.10899209246424743
18.41,-2.64046,2640.46,402.6067914438503,2237.8532085561496,0.7366336771764157,0.760698141800277,0.10977694043254509
18.445,-2.65699,2656.99,402.59673128342246,2254.3932687165775,0.7329546398152817,0.7568417499864519,0.11058830607173886
